case_id,customer_id,action,recovered,recovered_amount,attempts
CASE_000001,CUST_01698,retry,False,0.0,1
CASE_000002,CUST_01132,retry,True,13042.46,1
CASE_000003,CUST_01561,retry,False,0.0,1
CASE_000004,CUST_00126,retry,False,0.0,1
CASE_000005,CUST_00495,retry,False,0.0,1
CASE_000006,CUST_00484,retry,True,19108.54,1
CASE_000007,CUST_00758,retry,False,0.0,1
CASE_000008,CUST_00825,retry,True,54006.26,1
CASE_000009,CUST_00443,retry,False,0.0,1
CASE_000010,CUST_01786,retry,True,7189.61,1
CASE_000011,CUST_00672,retry,False,0.0,1
CASE_000012,CUST_01554,retry,False,0.0,1
CASE_000013,CUST_00385,retry,False,0.0,1
CASE_000014,CUST_00056,retry,False,0.0,1
CASE_000015,CUST_01630,retry,True,15404.32,1
CASE_000016,CUST_00618,retry,False,0.0,1
CASE_000017,CUST_00856,retry,False,0.0,1
CASE_000018,CUST_01884,retry,False,0.0,1
CASE_000019,CUST_01682,retry,False,0.0,1
CASE_000020,CUST_01943,retry,False,0.0,1
CASE_000021,CUST_00899,retry,True,8465.23,1
CASE_000022,CUST_00257,retry,False,0.0,1
CASE_000023,CUST_00685,retry,True,12992.05,1
CASE_000024,CUST_00721,retry,False,0.0,1
CASE_000025,CUST_01775,retry,False,0.0,1
CASE_000026,CUST_00516,retry,False,0.0,1
CASE_000027,CUST_01995,retry,False,0.0,1
CASE_000028,CUST_01525,retry,False,0.0,1
CASE_000029,CUST_01370,retry,False,0.0,1
CASE_000030,CUST_00748,retry,False,0.0,1
CASE_000031,CUST_01494,retry,True,40773.77,1
CASE_000032,CUST_01955,retry,True,14019.67,1
CASE_000033,CUST_01446,retry,False,0.0,1
CASE_000034,CUST_00790,retry,False,0.0,1
CASE_000035,CUST_00935,retry,False,0.0,1
CASE_000036,CUST_00726,retry,False,0.0,1
CASE_000037,CUST_01616,retry,True,41435.35,1
CASE_000038,CUST_01497,retry,False,0.0,1
CASE_000039,CUST_00927,retry,False,0.0,1
CASE_000040,CUST_01973,retry,True,16512.68,1
CASE_000041,CUST_00275,retry,False,0.0,1
CASE_000042,CUST_00665,retry,True,33671.45,1
CASE_000043,CUST_01604,retry,False,0.0,1
CASE_000044,CUST_01094,retry,True,16785.24,1
CASE_000045,CUST_00124,retry,False,0.0,1
CASE_000046,CUST_01196,retry,True,39690.25,1
CASE_000047,CUST_01064,retry,False,0.0,1
CASE_000048,CUST_01297,retry,False,0.0,1
CASE_000049,CUST_00394,retry,True,30067.05,1
CASE_000050,CUST_01604,retry,False,0.0,1
CASE_000051,CUST_01044,retry,True,16695.03,1
CASE_000052,CUST_00184,retry,True,42955.24,1
CASE_000053,CUST_01852,retry,False,0.0,1
CASE_000054,CUST_00435,retry,True,5481.62,1
CASE_000055,CUST_00067,retry,False,0.0,1
CASE_000056,CUST_00009,retry,False,0.0,1
CASE_000057,CUST_01859,retry,False,0.0,1
CASE_000058,CUST_01136,retry,False,0.0,1
CASE_000059,CUST_00280,retry,True,91833.35,1
CASE_000060,CUST_01358,retry,False,0.0,1
CASE_000061,CUST_00830,retry,False,0.0,1
CASE_000062,CUST_00953,retry,True,38867.89,1
CASE_000063,CUST_00151,retry,False,0.0,1
CASE_000064,CUST_01831,retry,False,0.0,1
CASE_000065,CUST_00325,retry,True,48965.38,1
CASE_000066,CUST_00627,retry,False,0.0,1
CASE_000067,CUST_00280,retry,True,19461.02,1
CASE_000068,CUST_00965,retry,False,0.0,1
CASE_000069,CUST_01347,retry,False,0.0,1
CASE_000070,CUST_01735,retry,False,0.0,1
CASE_000071,CUST_01541,retry,False,0.0,1
CASE_000072,CUST_01870,retry,False,0.0,1
CASE_000073,CUST_01268,retry,True,84914.28,1
CASE_000074,CUST_01012,retry,False,0.0,1
CASE_000075,CUST_01659,retry,False,0.0,1
CASE_000076,CUST_00858,retry,False,0.0,1
CASE_000077,CUST_00241,retry,True,13017.55,1
CASE_000078,CUST_01837,retry,False,0.0,1
CASE_000079,CUST_00269,retry,True,26460.05,1
CASE_000080,CUST_00209,retry,False,0.0,1
CASE_000081,CUST_00454,retry,False,0.0,1
CASE_000082,CUST_01144,retry,False,0.0,1
CASE_000083,CUST_00691,retry,False,0.0,1
CASE_000084,CUST_00825,retry,False,0.0,1
CASE_000085,CUST_00893,retry,False,0.0,1
CASE_000086,CUST_01289,retry,True,15109.11,1
CASE_000087,CUST_00410,retry,False,0.0,1
CASE_000088,CUST_01824,retry,False,0.0,1
