case_id,customer_id,customer_segment,communication_opt_in,failure_category,recovery_amount,final_action,decision_reason,guardrail_status,recovery_probability,expected_recovery,action_cost,erv
CASE_000001,CUST_01698,regular,1,limit_exceeded,8478.68,reminder,Action passed all guardrails.,passed,0.5664293405784722,4802.573121375881,5.0,4797.573121375881
CASE_000002,CUST_01132,regular,1,temporary_bank_failure,13042.46,retry,Action passed all guardrails.,passed,0.8579277809938051,11189.488766500464,2.0,11187.488766500464
CASE_000003,CUST_01561,regular,1,blocked_instrument,17945.34,reminder,Action passed all guardrails.,passed,0.5675573060814091,10185.008827114954,5.0,10180.008827114954
CASE_000004,CUST_00126,regular,1,timeout,46945.17,retry,Action passed all guardrails.,passed,0.7017244033356433,32942.57140774034,2.0,32940.57140774034
CASE_000005,CUST_00495,new,1,expired_instrument,4216.94,reminder,Action passed all guardrails.,passed,0.5176483370097679,2182.8919782699704,5.0,2177.8919782699704
CASE_000006,CUST_00484,new,1,temporary_bank_failure,19108.54,retry,Action passed all guardrails.,passed,0.8014003451567557,15313.590551441674,2.0,15311.590551441674
CASE_000007,CUST_00758,regular,1,unknown_failure,26683.81,escalate,Case routed to manual review.,passed,0.5137947629661155,13710.001833982862,25.0,13685.001833982862
CASE_000008,CUST_00825,high_value,1,unknown_failure,54006.26,reminder,High-value case permitted for controlled recovery.,passed,0.5618888757468598,30345.516714692603,5.0,30340.516714692603
CASE_000009,CUST_00443,new,1,insufficient_funds,13415.5,reminder,Action passed all guardrails.,passed,0.573250252660869,7690.438764571889,5.0,7685.438764571889
CASE_000010,CUST_01786,new,1,timeout,7189.61,retry,Action passed all guardrails.,passed,0.6140036074257664,4414.446475984364,2.0,4412.446475984364
CASE_000011,CUST_00672,new,0,timeout,4174.91,retry,Action passed all guardrails.,passed,0.755674931263442,3154.874827281056,2.0,3152.874827281056
CASE_000012,CUST_01554,regular,1,timeout,48132.54,retry,Action passed all guardrails.,passed,0.7026679160279227,33821.19157493063,2.0,33819.19157493063
CASE_000013,CUST_00385,new,1,insufficient_funds,16759.79,reminder,Action passed all guardrails.,passed,0.5308251155197485,8896.517462836728,5.0,8891.517462836728
CASE_000014,CUST_00056,new,1,expired_instrument,15019.46,reminder,Action passed all guardrails.,passed,0.5151522087014269,7737.307992502732,5.0,7732.307992502732
CASE_000015,CUST_01630,regular,1,insufficient_funds,15404.32,reminder,Action passed all guardrails.,passed,0.6406681507095665,9869.05720733839,5.0,9864.05720733839
