metric,baseline,recoverAI
cases,3262.0,3262.0
recovered_cases,1169.0,1402.0
recovery_rate,0.3583690987124464,0.4297976701410178
money_recovered,30996494.37,34772112.64
incremental_money_recovered,0.0,3775618.27
improvement_percent,0.0,12.180791237005954
gross_revenue_at_risk,86344045.84,86344045.84
total_expected_recovery,0.0,68309278.9676524
total_erv,0.0,68295727.9676524
action_cost,0.0,13551.0
escalated_cases,0.0,1748.0
stopped_cases,0.0,112.0
multi_attempt_cases,0.0,1483.0
total_recovery_attempts,3262.0,4346.0
