case_id,customer_id,event_ids,surfaces,event_types,recovery_amount,failure_categories,dedup_status,dedup_score,case_created_at
CASE_000001,CUST_01698,PAY_000755|CHK_000331,payment|checkout,payment_failed|checkout_abandoned,8478.68,limit_exceeded,matched,0.9949921961122878,2026-06-01 00:46:15.864262
CASE_000002,CUST_01132,PAY_004671|CHK_003385,payment|checkout,payment_failed|checkout_abandoned,13042.46,temporary_bank_failure,matched,0.994711930622495,2026-05-31 12:05:16.084614
CASE_000003,CUST_01561,PAY_001688|CHK_002305,payment|checkout,payment_failed|checkout_abandoned,17945.34,blocked_instrument,matched,0.9938358119712416,2026-08-01 18:12:15.928679
CASE_000004,CUST_00126,PAY_001544|CHK_003369,payment|checkout,payment_failed|checkout_abandoned,46945.17,timeout,matched,0.993808930183872,2026-06-07 07:40:15.918246
CASE_000005,CUST_00495,PAY_001042|CHK_001854,payment|checkout,payment_failed|checkout_abandoned,4216.94,expired_instrument,matched,0.9937316882752791,2026-08-08 18:51:15.884917
CASE_000006,CUST_00484,PAY_006384|CHK_002670,payment|checkout,payment_failed|checkout_abandoned,19108.54,temporary_bank_failure,matched,0.9931393697384636,2026-06-08 08:58:16.165448
CASE_000007,CUST_00758,PAY_001163|CHK_002601,payment|checkout,payment_failed|checkout_abandoned,26683.81,unknown_failure,matched,0.9930236209813283,2026-06-29 19:51:15.890862
CASE_000008,CUST_00825,PAY_005800|CHK_000635,payment|checkout,payment_failed|checkout_abandoned,54006.26,unknown_failure,matched,0.992904486031393,2026-08-25 05:46:16.133445
CASE_000009,CUST_00443,PAY_003426|CHK_000271,payment|checkout,payment_failed|checkout_abandoned,13415.5,insufficient_funds,matched,0.9927850123613232,2026-08-19 03:45:16.029538
CASE_000010,CUST_01786,PAY_004428|CHK_002795,payment|checkout,payment_failed|checkout_abandoned,7189.61,timeout,matched,0.9919413245873792,2026-06-24 00:54:16.073506
CASE_000011,CUST_00672,PAY_002734|CHK_000839,payment|checkout,payment_failed|checkout_abandoned,4174.91,timeout,matched,0.9917236319665175,2026-06-16 02:26:15.991170
CASE_000012,CUST_01554,PAY_006248|CHK_000014,payment|checkout,payment_failed|checkout_abandoned,48132.54,timeout,matched,0.99064490259604,2026-06-28 06:08:16.157551
CASE_000013,CUST_00385,PAY_000534|CHK_000535,payment|checkout,payment_failed|checkout_abandoned,16759.79,insufficient_funds,matched,0.9904398876716236,2026-06-30 21:16:15.850654
CASE_000014,CUST_00056,PAY_005058|CHK_001190,payment|checkout,payment_failed|checkout_abandoned,15019.46,expired_instrument,matched,0.9901877338540208,2026-06-15 03:00:16.101256
CASE_000015,CUST_01630,PAY_002857|CHK_000353,payment|checkout,payment_failed|checkout_abandoned,15404.32,insufficient_funds,matched,0.990097585900867,2026-06-29 18:06:16.000472
CASE_000016,CUST_00618,PAY_003682|CHK_001366,payment|checkout,payment_failed|checkout_abandoned,27718.35,unknown_failure,matched,0.9897360623317526,2026-06-19 20:14:16.040691
CASE_000017,CUST_00856,PAY_001886|CHK_001290,payment|checkout,payment_failed|checkout_abandoned,9395.95,unknown_failure,matched,0.9897055971514914,2026-08-11 22:41:15.942675
CASE_000018,CUST_01884,PAY_002345|CHK_003308,payment|checkout,payment_failed|checkout_abandoned,19908.85,unknown_failure,matched,0.9893069651045752,2026-06-09 16:38:15.967740
CASE_000019,CUST_01682,PAY_001713|CHK_000015,payment|checkout,payment_failed|checkout_abandoned,4684.36,insufficient_funds,matched,0.9888270400510066,2026-07-30 08:34:15.929677
CASE_000020,CUST_01943,PAY_003978|CHK_001488,payment|checkout,payment_failed|checkout_abandoned,31815.77,blocked_instrument,matched,0.9884587875411749,2026-07-30 05:06:16.054832
CASE_000021,CUST_00899,PAY_001409|CHK_001804,payment|checkout,payment_failed|checkout_abandoned,8465.23,timeout,matched,0.9879129611494444,2026-07-26 23:10:15.904164
CASE_000022,CUST_00257,PAY_003398|CHK_002215,payment|checkout,payment_failed|checkout_abandoned,13338.08,temporary_bank_failure,matched,0.9876376809855691,2026-06-23 22:52:16.028439
CASE_000023,CUST_00685,PAY_003542|CHK_000184,payment|checkout,payment_failed|checkout_abandoned,12992.05,timeout,matched,0.9874018395437552,2026-07-12 00:52:16.035151
CASE_000024,CUST_00721,PAY_004654|CHK_002516,payment|checkout,payment_failed|checkout_abandoned,6881.27,unknown_failure,matched,0.9869764722048239,2026-08-13 15:27:16.083515
CASE_000025,CUST_01775,PAY_005825|CHK_000861,payment|checkout,payment_failed|checkout_abandoned,17812.74,insufficient_funds,matched,0.9864440993730705,2026-08-24 05:59:16.134573
CASE_000026,CUST_00516,PAY_006624|CHK_002020,payment|checkout,payment_failed|checkout_abandoned,7586.59,authentication_failed,matched,0.9862815159526364,2026-08-20 10:17:16.176411
CASE_000027,CUST_01995,PAY_001406|CHK_003230,payment|checkout,payment_failed|checkout_abandoned,38704.19,unknown_failure,matched,0.986276699987492,2026-06-10 15:13:15.904164
CASE_000028,CUST_01525,PAY_001669|CHK_003382,payment|checkout,payment_failed|checkout_abandoned,49243.32,insufficient_funds,matched,0.9858769412785329,2026-06-06 13:08:15.926518
CASE_000029,CUST_01370,PAY_005897|CHK_001476,payment|checkout,payment_failed|checkout_abandoned,8920.39,insufficient_funds,matched,0.9857561954503484,2026-05-28 05:16:16.137864
CASE_000030,CUST_00748,PAY_004099|CHK_001865,payment|checkout,payment_failed|checkout_abandoned,37604.95,insufficient_funds,matched,0.9853170050308093,2026-06-15 20:10:16.059278
CASE_000031,CUST_01494,PAY_003181|CHK_000937,payment|checkout,payment_failed|checkout_abandoned,40773.77,temporary_bank_failure,matched,0.9851845651424106,2026-07-17 19:38:16.019313
CASE_000032,CUST_01955,PAY_006034|CHK_003018,payment|checkout,payment_failed|checkout_abandoned,14019.67,unknown_failure,matched,0.9849195661841145,2026-06-24 11:17:16.144429
CASE_000033,CUST_01446,PAY_004389|CHK_000327,payment|checkout,payment_failed|checkout_abandoned,13155.67,insufficient_funds,matched,0.9845488588655014,2026-07-23 16:58:16.072413
CASE_000034,CUST_00790,PAY_005292|CHK_003259,payment|checkout,payment_failed|checkout_abandoned,14162.24,blocked_instrument,matched,0.9841466133417689,2026-06-29 12:09:16.111146
CASE_000035,CUST_00935,PAY_005267|CHK_002108,payment|checkout,payment_failed|checkout_abandoned,35404.43,risk_decline,matched,0.9836536130899124,2026-06-10 11:38:16.110047
CASE_000036,CUST_00726,PAY_002121|CHK_000677,payment|checkout,payment_failed|checkout_abandoned,5234.47,insufficient_funds,matched,0.9835249238859585,2026-06-17 04:09:15.954997
CASE_000037,CUST_01616,PAY_002575|CHK_002232,payment|checkout,payment_failed|checkout_abandoned,41435.35,insufficient_funds,matched,0.9834090751549636,2026-07-08 21:59:15.983965
CASE_000038,CUST_01497,PAY_004487|CHK_000933,payment|checkout,payment_failed|checkout_abandoned,17857.47,authentication_failed,matched,0.9833027373605182,2026-07-08 13:28:16.076723
CASE_000039,CUST_00927,PAY_005442|CHK_002318,payment|checkout,payment_failed|checkout_abandoned,2795.31,insufficient_funds,matched,0.9832222275883533,2026-07-29 18:38:16.117856
CASE_000040,CUST_01973,PAY_002905|CHK_001913,payment|checkout,payment_failed|checkout_abandoned,16512.68,insufficient_funds,matched,0.9830814743578874,2026-06-01 00:01:16.004535
