case_id,failure_category,customer_segment,amount_bucket,action,attempt_number,recovery_amount,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts,historical_failure_rate,communication_opt_in,recovered
CASE_000001,limit_exceeded,regular,5k_25k,retry,1,8478.68,70643.07,3,1,4,0.25,1,1
CASE_000001,limit_exceeded,regular,5k_25k,reminder,1,8478.68,70643.07,3,1,4,0.25,1,1
CASE_000001,limit_exceeded,regular,5k_25k,escalate,1,8478.68,70643.07,3,1,4,0.25,1,1
CASE_000002,temporary_bank_failure,regular,5k_25k,retry,1,13042.46,48159.78,7,1,8,0.125,1,1
CASE_000002,temporary_bank_failure,regular,5k_25k,reminder,1,13042.46,48159.78,7,1,8,0.125,1,0
CASE_000002,temporary_bank_failure,regular,5k_25k,escalate,1,13042.46,48159.78,7,1,8,0.125,1,1
CASE_000003,blocked_instrument,regular,5k_25k,retry,1,17945.34,26685.57,3,1,4,0.25,1,0
CASE_000003,blocked_instrument,regular,5k_25k,reminder,1,17945.34,26685.57,3,1,4,0.25,1,1
CASE_000003,blocked_instrument,regular,5k_25k,escalate,1,17945.34,26685.57,3,1,4,0.25,1,1
CASE_000004,timeout,regular,25k_100k,retry,1,46945.17,21935.85,5,1,6,0.16666666666666666,1,1
CASE_000004,timeout,regular,25k_100k,reminder,1,46945.17,21935.85,5,1,6,0.16666666666666666,1,0
CASE_000004,timeout,regular,25k_100k,escalate,1,46945.17,21935.85,5,1,6,0.16666666666666666,1,1
CASE_000005,expired_instrument,new,0_5k,retry,1,4216.94,9776.56,0,1,1,1.0,1,0
CASE_000005,expired_instrument,new,0_5k,reminder,1,4216.94,9776.56,0,1,1,1.0,1,1
CASE_000005,expired_instrument,new,0_5k,escalate,1,4216.94,9776.56,0,1,1,1.0,1,0
CASE_000006,temporary_bank_failure,new,5k_25k,retry,1,19108.54,8528.0,3,1,4,0.25,1,1
CASE_000006,temporary_bank_failure,new,5k_25k,reminder,1,19108.54,8528.0,3,1,4,0.25,1,1
CASE_000006,temporary_bank_failure,new,5k_25k,escalate,1,19108.54,8528.0,3,1,4,0.25,1,1
CASE_000007,unknown_failure,regular,25k_100k,retry,1,26683.81,39350.73,3,1,4,0.25,1,1
CASE_000007,unknown_failure,regular,25k_100k,reminder,1,26683.81,39350.73,3,1,4,0.25,1,0
CASE_000007,unknown_failure,regular,25k_100k,escalate,1,26683.81,39350.73,3,1,4,0.25,1,1
CASE_000008,unknown_failure,high_value,25k_100k,retry,1,54006.26,277900.33,3,3,6,0.5,1,0
CASE_000008,unknown_failure,high_value,25k_100k,reminder,1,54006.26,277900.33,3,3,6,0.5,1,0
CASE_000008,unknown_failure,high_value,25k_100k,escalate,1,54006.26,277900.33,3,3,6,0.5,1,0
CASE_000009,insufficient_funds,new,5k_25k,retry,1,13415.5,15946.63,3,3,6,0.5,1,0
CASE_000009,insufficient_funds,new,5k_25k,reminder,1,13415.5,15946.63,3,3,6,0.5,1,0
CASE_000009,insufficient_funds,new,5k_25k,escalate,1,13415.5,15946.63,3,3,6,0.5,1,1
CASE_000010,timeout,new,5k_25k,retry,1,7189.61,9514.92,3,1,4,0.25,1,0
CASE_000010,timeout,new,5k_25k,reminder,1,7189.61,9514.92,3,1,4,0.25,1,0
CASE_000010,timeout,new,5k_25k,escalate,1,7189.61,9514.92,3,1,4,0.25,1,0
CASE_000011,timeout,new,0_5k,retry,1,4174.91,19817.08,2,1,3,0.3333333333333333,0,1
CASE_000011,timeout,new,0_5k,reminder,1,4174.91,19817.08,2,1,3,0.3333333333333333,0,1
CASE_000011,timeout,new,0_5k,escalate,1,4174.91,19817.08,2,1,3,0.3333333333333333,0,1
CASE_000012,timeout,regular,25k_100k,retry,1,48132.54,62585.61,3,1,4,0.25,1,0
CASE_000012,timeout,regular,25k_100k,reminder,1,48132.54,62585.61,3,1,4,0.25,1,0
CASE_000012,timeout,regular,25k_100k,escalate,1,48132.54,62585.61,3,1,4,0.25,1,1
CASE_000013,insufficient_funds,new,5k_25k,retry,1,16759.79,7655.04,1,1,2,0.5,1,0
CASE_000013,insufficient_funds,new,5k_25k,reminder,1,16759.79,7655.04,1,1,2,0.5,1,0
CASE_000013,insufficient_funds,new,5k_25k,escalate,1,16759.79,7655.04,1,1,2,0.5,1,0
CASE_000014,expired_instrument,new,5k_25k,retry,1,15019.46,3659.27,3,1,4,0.25,1,0
CASE_000014,expired_instrument,new,5k_25k,reminder,1,15019.46,3659.27,3,1,4,0.25,1,1
CASE_000014,expired_instrument,new,5k_25k,escalate,1,15019.46,3659.27,3,1,4,0.25,1,1
