checkout_id,customer_id,amount,status,checkout_stage,created_at,abandoned_at
CHK_000001,CUST_01455,49560.78,abandoned,payment_page,2026-07-06 11:53:16.310311,2026-07-06 12:11:16.310311
CHK_000002,CUST_01580,36967.13,completed,address,2026-06-27 09:18:16.310311,
CHK_000003,CUST_00787,15913.2,abandoned,payment_page,2026-06-04 18:51:16.310311,2026-06-04 19:04:16.310311
CHK_000004,CUST_01418,16508.07,completed,address,2026-07-25 22:32:16.310311,
CHK_000005,CUST_00435,5481.62,abandoned,payment_attempt,2026-08-18 12:18:16.169826,2026-08-18 13:22:16.169826
CHK_000006,CUST_00138,21040.62,abandoned,review,2026-06-22 22:49:16.311424,2026-06-22 23:35:16.311424
CHK_000007,CUST_00993,36171.94,abandoned,address,2026-06-04 17:37:16.311424,2026-06-04 17:50:16.311424
CHK_000008,CUST_00070,27083.31,completed,review,2026-06-09 17:29:16.312515,
CHK_000009,CUST_00860,48444.22,completed,payment_attempt,2026-05-27 18:50:16.312515,
CHK_000010,CUST_01783,38384.78,abandoned,payment_page,2026-06-05 13:19:15.996401,2026-06-05 14:46:15.996401
CHK_000011,CUST_00235,1690.6,abandoned,payment_page,2026-06-13 18:55:16.312515,2026-06-13 20:05:16.312515
CHK_000012,CUST_01036,39380.32,completed,payment_page,2026-06-29 07:43:16.312515,
CHK_000013,CUST_01165,8429.21,abandoned,review,2026-07-19 16:04:16.313614,2026-07-19 16:47:16.313614
CHK_000014,CUST_01554,48132.54,abandoned,payment_attempt,2026-06-28 06:08:16.157551,2026-06-28 06:23:16.157551
CHK_000015,CUST_01682,4684.36,abandoned,payment_attempt,2026-07-30 08:34:15.929677,2026-07-30 10:31:15.929677
CHK_000016,CUST_00628,25578.53,completed,payment_attempt,2026-08-11 17:13:16.314724,
CHK_000017,CUST_00860,40559.96,expired,payment_page,2026-08-22 18:22:16.314724,2026-08-22 18:43:16.314724
CHK_000018,CUST_00504,47228.39,completed,address,2026-07-08 09:17:16.314724,
CHK_000019,CUST_00973,19722.67,abandoned,payment_page,2026-06-15 19:23:15.981693,2026-06-15 21:03:15.981693
CHK_000020,CUST_01457,7744.26,completed,payment_page,2026-06-22 11:13:16.315820,
CHK_000021,CUST_01047,9124.8,completed,review,2026-07-12 21:50:16.315820,
CHK_000022,CUST_01069,15960.03,completed,payment_page,2026-07-23 05:03:16.315820,
CHK_000023,CUST_00992,4864.0,abandoned,review,2026-08-14 10:58:16.315820,2026-08-14 11:43:16.315820
CHK_000024,CUST_00127,38724.06,completed,payment_page,2026-06-10 07:25:16.315820,
CHK_000025,CUST_01914,34380.75,abandoned,payment_attempt,2026-07-03 20:58:15.892172,2026-07-03 21:24:15.892172
CHK_000026,CUST_01539,49804.78,completed,payment_page,2026-07-17 18:51:16.316920,
CHK_000027,CUST_00111,9857.07,abandoned,payment_page,2026-06-11 18:27:16.316920,2026-06-11 19:59:16.316920
CHK_000028,CUST_01942,7181.27,abandoned,payment_attempt,2026-06-18 02:36:16.316920,2026-06-18 03:32:16.316920
CHK_000029,CUST_01216,17263.06,abandoned,payment_page,2026-06-21 09:08:16.316920,2026-06-21 09:47:16.316920
CHK_000030,CUST_01258,39462.74,abandoned,address,2026-08-14 03:13:16.316920,2026-08-14 03:31:16.316920
CHK_000031,CUST_00008,33200.45,completed,review,2026-07-04 22:01:16.316920,
CHK_000032,CUST_00488,27357.97,completed,payment_page,2026-06-21 03:36:16.316920,
CHK_000033,CUST_01158,848.33,completed,payment_page,2026-07-27 03:47:16.316920,
CHK_000034,CUST_01018,46002.0,completed,address,2026-07-15 18:25:16.316920,
CHK_000035,CUST_01439,23580.35,abandoned,payment_page,2026-08-03 19:27:16.316920,2026-08-03 20:24:16.316920
CHK_000036,CUST_02000,48245.67,completed,payment_attempt,2026-07-09 07:02:16.318017,
CHK_000037,CUST_00889,9406.57,completed,payment_page,2026-06-05 23:24:16.318017,
CHK_000038,CUST_01253,17810.31,abandoned,payment_attempt,2026-07-10 15:59:16.141149,2026-07-10 16:54:16.141149
CHK_000039,CUST_00128,3536.19,abandoned,payment_page,2026-07-11 16:43:15.912787,2026-07-11 16:45:15.912787
CHK_000040,CUST_00213,93392.48,abandoned,address,2026-08-22 06:27:16.320024,2026-08-22 07:15:16.320024
CHK_000041,CUST_01147,9927.42,completed,payment_page,2026-08-20 10:27:16.320024,
CHK_000042,CUST_01827,7923.98,abandoned,review,2026-08-14 00:33:16.320024,2026-08-14 01:06:16.320024
CHK_000043,CUST_00774,34572.38,completed,address,2026-07-20 09:54:16.320024,
CHK_000044,CUST_01183,45278.16,abandoned,payment_attempt,2026-07-19 07:07:16.185492,2026-07-19 08:32:16.185492
CHK_000045,CUST_00418,20030.97,completed,payment_page,2026-08-06 10:47:16.321021,
CHK_000046,CUST_00932,51040.79,expired,address,2026-06-29 06:33:16.321021,2026-06-29 07:10:16.321021
CHK_000047,CUST_00269,45120.41,abandoned,payment_attempt,2026-08-06 14:17:16.009720,2026-08-06 14:22:16.009720
CHK_000048,CUST_00075,17648.65,completed,payment_attempt,2026-08-18 05:31:16.321021,
CHK_000049,CUST_00479,43637.17,abandoned,payment_attempt,2026-06-27 20:09:16.177504,2026-06-27 20:15:16.177504
