payment_id,customer_id,amount,payment_method,status,raw_failure_code,failure_category,attempt_number,created_at
PAY_000001,CUST_01926,1881.44,card,successful,,,1,2026-08-14 19:16:15.788803
PAY_000002,CUST_01176,37747.91,card,failed,NETWORK_TIMEOUT,timeout,1,2026-08-16 14:41:15.790028
PAY_000003,CUST_00445,12178.67,card,successful,,,1,2026-07-05 12:14:15.790028
PAY_000004,CUST_00665,2629.7,card,successful,,,1,2026-07-08 06:58:15.790028
PAY_000005,CUST_01656,33814.78,upi,successful,,,1,2026-07-29 22:26:15.790028
PAY_000006,CUST_00562,62827.85,card,successful,,,1,2026-07-30 13:54:15.790028
PAY_000007,CUST_01249,27268.26,card,successful,,,1,2026-06-05 19:57:15.790028
PAY_000008,CUST_01468,20591.72,card,successful,,,1,2026-08-01 05:54:15.790028
PAY_000009,CUST_00571,94826.3,card,successful,,,1,2026-07-22 23:34:15.790028
PAY_000010,CUST_00836,4101.72,upi,successful,,,1,2026-06-01 00:34:15.790028
PAY_000011,CUST_01009,20686.5,upi,successful,,,1,2026-08-18 06:34:15.790028
PAY_000012,CUST_01956,38843.2,upi,successful,,,1,2026-05-28 19:17:15.790028
PAY_000013,CUST_01374,42989.22,upi,successful,,,1,2026-06-18 09:02:15.790028
PAY_000014,CUST_00487,12654.97,netbanking,successful,,,1,2026-07-18 03:24:15.790028
PAY_000015,CUST_01839,18418.96,upi,successful,,,1,2026-06-13 11:13:15.790028
PAY_000016,CUST_00164,24871.63,netbanking,successful,,,1,2026-07-25 07:04:15.790028
PAY_000017,CUST_00554,21369.31,netbanking,successful,,,1,2026-06-24 19:20:15.790028
PAY_000018,CUST_00261,47995.3,netbanking,successful,,,1,2026-06-19 19:30:15.790028
PAY_000019,CUST_01771,40666.69,card,successful,,,1,2026-06-30 10:39:15.790028
PAY_000020,CUST_00920,13339.98,card,successful,,,1,2026-06-12 16:04:15.791127
PAY_000021,CUST_01765,48611.78,upi,failed,UNKNOWN_ERROR,unknown_failure,1,2026-07-07 16:47:15.791127
PAY_000022,CUST_00058,15715.33,card,successful,,,1,2026-06-28 21:14:15.791127
PAY_000023,CUST_01119,2558.38,netbanking,successful,,,1,2026-08-03 23:58:15.791127
PAY_000024,CUST_00310,57356.5,upi,successful,,,1,2026-08-10 02:30:15.791127
PAY_000025,CUST_01032,78249.57,upi,successful,,,1,2026-07-31 10:28:15.791127
PAY_000026,CUST_00281,9689.54,netbanking,successful,,,1,2026-07-23 06:53:15.791127
PAY_000027,CUST_01193,24337.56,upi,successful,,,1,2026-06-28 08:11:15.791127
PAY_000028,CUST_01395,48022.74,upi,successful,,,1,2026-06-14 20:11:15.791127
PAY_000029,CUST_01909,37997.77,upi,successful,,,1,2026-06-15 23:22:15.791127
PAY_000030,CUST_00050,31889.76,card,failed,CARD_EXPIRED,expired_instrument,1,2026-07-13 10:40:15.791127
PAY_000031,CUST_01619,4399.39,card,failed,PROCESSING_TIMEOUT,timeout,1,2026-08-03 06:06:15.791127
PAY_000032,CUST_00144,37561.53,netbanking,successful,,,1,2026-08-07 20:13:15.791127
PAY_000033,CUST_01338,5277.7,upi,successful,,,1,2026-07-03 02:47:15.791127
PAY_000034,CUST_00543,11091.34,netbanking,successful,,,1,2026-06-03 00:43:15.791127
PAY_000035,CUST_00501,46731.28,card,successful,,,1,2026-06-01 03:07:15.791127
PAY_000036,CUST_01678,3608.17,netbanking,successful,,,1,2026-06-22 22:34:15.791127
PAY_000037,CUST_01556,32020.03,card,successful,,,1,2026-08-18 11:33:15.791127
PAY_000038,CUST_01525,5213.26,netbanking,successful,,,1,2026-06-11 00:47:15.791127
PAY_000039,CUST_00126,33977.79,upi,successful,,,1,2026-08-14 04:09:15.791127
PAY_000040,CUST_01017,45112.45,card,successful,,,1,2026-08-22 00:41:15.791127
PAY_000041,CUST_01693,24345.14,netbanking,successful,,,1,2026-07-11 13:35:15.792231
PAY_000042,CUST_01775,12947.86,card,successful,,,1,2026-08-15 16:11:15.792231
PAY_000043,CUST_00702,78418.91,upi,successful,,,1,2026-06-26 12:24:15.792231
PAY_000044,CUST_00467,12226.19,upi,failed,PROCESSING_TIMEOUT,timeout,1,2026-06-24 03:00:15.792231
PAY_000045,CUST_00869,6302.04,upi,failed,INSUFFICIENT_BALANCE,insufficient_funds,1,2026-06-27 03:54:15.792231
PAY_000046,CUST_01983,20011.69,upi,successful,,,1,2026-08-09 20:43:15.792231
PAY_000047,CUST_01975,9150.73,upi,successful,,,1,2026-06-24 08:44:15.792231
PAY_000048,CUST_01061,9397.69,upi,successful,,,1,2026-05-28 13:04:15.792231
PAY_000049,CUST_01051,41266.13,upi,successful,,,1,2026-07-09 09:20:15.792231
PAY_000050,CUST_00341,38654.21,upi,successful,,,1,2026-08-13 11:31:15.792231
PAY_000051,CUST_00870,99123.83,netbanking,successful,,,1,2026-08-22 14:09:15.792231
PAY_000052,CUST_01859,22556.97,upi,successful,,,1,2026-07-28 22:46:15.792231
PAY_000053,CUST_00010,1922.3,netbanking,successful,,,1,2026-06-25 00:33:15.792231
PAY_000054,CUST_00902,16752.78,card,successful,,,1,2026-07-20 21:23:15.792231
PAY_000055,CUST_01018,13782.5,card,successful,,,1,2026-06-16 04:51:15.792231
PAY_000056,CUST_00399,21172.27,card,successful,,,1,2026-06-26 01:13:15.792231
PAY_000057,CUST_01308,519.7,netbanking,failed,UNSPECIFIED_DECLINE,insufficient_funds,1,2026-05-30 23:33:15.792231
PAY_000058,CUST_01211,32709.42,upi,successful,,,1,2026-06-29 10:46:15.792231
PAY_000059,CUST_01305,18573.89,netbanking,successful,,,1,2026-07-17 09:30:15.793269
PAY_000060,CUST_00506,17892.37,netbanking,successful,,,1,2026-06-27 23:28:15.793269
PAY_000061,CUST_00785,43567.09,upi,successful,,,1,2026-08-23 22:15:15.793269
PAY_000062,CUST_00903,15291.49,upi,failed,INSUFFICIENT_BALANCE,insufficient_funds,1,2026-06-23 02:52:15.793269
PAY_000063,CUST_01628,60496.91,card,successful,,,1,2026-07-17 04:03:15.793269
PAY_000064,CUST_00378,8596.91,netbanking,successful,,,1,2026-07-28 22:55:15.793269
PAY_000065,CUST_01367,3464.63,upi,successful,,,1,2026-07-19 11:23:15.793269
PAY_000066,CUST_00089,20476.52,upi,successful,,,1,2026-06-28 16:12:15.793269
PAY_000067,CUST_00259,5127.8,upi,failed,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,1,2026-07-18 02:55:15.793269
PAY_000068,CUST_01518,9891.29,card,failed,INSTRUMENT_EXPIRED,expired_instrument,1,2026-06-25 03:41:15.793269
PAY_000069,CUST_01226,16887.51,card,successful,,,1,2026-08-06 15:48:15.793269
PAY_000070,CUST_00400,27790.06,upi,successful,,,1,2026-07-22 06:07:15.793269
PAY_000071,CUST_01021,13754.11,netbanking,successful,,,1,2026-06-15 04:42:15.793269
PAY_000072,CUST_00693,15602.52,card,successful,,,1,2026-06-13 22:49:15.793269
PAY_000073,CUST_00269,26460.05,upi,failed,UNKNOWN_ERROR,unknown_failure,1,2026-05-30 01:54:15.793269
PAY_000074,CUST_00480,21435.37,netbanking,successful,,,1,2026-08-07 14:21:15.794738
PAY_000075,CUST_01976,14461.9,card,successful,,,1,2026-08-07 03:00:15.794738
PAY_000076,CUST_01620,47325.15,netbanking,successful,,,1,2026-07-15 16:16:15.794738
PAY_000077,CUST_00556,10177.15,upi,successful,,,1,2026-07-22 22:24:15.794738
