subscription_id,customer_id,amount,status,failure_code,failure_category,retry_count,created_at,next_retry_at
SUB_000001,CUST_00001,12999.37,active,,,0,2026-06-27 20:32:16.211102,
SUB_000002,CUST_00002,1611.86,cancelled,,,0,2026-08-03 20:32:16.211102,
SUB_000003,CUST_00003,7773.82,active,,,0,2026-04-16 20:32:16.211102,
SUB_000004,CUST_00004,2480.79,active,,,0,2026-08-10 20:32:16.211102,
SUB_000005,CUST_00005,9636.15,cancelled,,,0,2026-04-08 20:32:16.211102,
SUB_000006,CUST_00006,5724.03,failed,TRANSACTION_LIMIT_EXCEEDED,limit_exceeded,1,2026-03-31 20:32:16.211102,2026-04-01 01:32:16.211102
SUB_000007,CUST_00007,5682.69,active,,,0,2026-03-26 20:32:16.212199,
SUB_000008,CUST_00008,5277.39,active,,,0,2026-08-15 20:32:16.212199,
SUB_000009,CUST_00009,7281.21,active,,,0,2026-08-10 20:32:16.212199,
SUB_000010,CUST_00010,9957.34,active,,,0,2026-08-10 20:32:16.212199,
SUB_000011,CUST_00011,9266.47,active,,,0,2026-05-24 20:32:16.212199,
SUB_000012,CUST_00012,1165.38,active,,,0,2026-04-03 20:32:16.212199,
SUB_000013,CUST_00013,13987.91,active,,,0,2026-05-20 20:32:16.212199,
SUB_000014,CUST_00014,8700.07,active,,,0,2026-08-22 20:32:16.212199,
SUB_000015,CUST_00015,1805.83,active,,,0,2026-04-14 20:32:16.212199,
SUB_000016,CUST_00016,1878.07,failed,UNKNOWN_ERROR,unknown_failure,1,2026-05-25 20:32:16.212199,2026-05-26 05:32:16.212199
SUB_000017,CUST_00017,5326.75,failed,UNSPECIFIED_DECLINE,temporary_bank_failure,1,2026-06-25 20:32:16.212199,2026-06-27 07:32:16.212199
SUB_000018,CUST_00018,12654.66,active,,,0,2026-03-23 20:32:16.212199,
SUB_000019,CUST_00019,7484.15,active,,,0,2026-07-06 20:32:16.212199,
SUB_000020,CUST_00020,2283.35,active,,,0,2026-08-19 20:32:16.212199,
SUB_000021,CUST_00021,2719.77,active,,,0,2026-04-02 20:32:16.212199,
SUB_000022,CUST_00022,14014.05,active,,,0,2026-03-21 20:32:16.212199,
SUB_000023,CUST_00023,2444.41,active,,,0,2026-05-18 20:32:16.212199,
SUB_000024,CUST_00024,2685.17,failed,NETWORK_TIMEOUT,timeout,1,2026-05-10 20:32:16.212199,2026-05-12 00:32:16.212199
SUB_000025,CUST_00025,6763.68,active,,,0,2026-03-07 20:32:16.212199,
SUB_000026,CUST_00026,14704.57,active,,,0,2026-04-27 20:32:16.212199,
SUB_000027,CUST_00027,21448.62,failed,UNSPECIFIED_DECLINE,unknown_failure,2,2026-05-06 20:32:16.212199,2026-05-07 19:32:16.212199
SUB_000028,CUST_00028,3048.72,active,,,0,2026-07-04 20:32:16.212199,
SUB_000029,CUST_00029,13956.63,active,,,0,2026-08-16 20:32:16.212199,
SUB_000030,CUST_00030,11508.11,active,,,0,2026-03-21 20:32:16.212199,
SUB_000031,CUST_00031,12893.55,active,,,0,2026-05-17 20:32:16.212199,
SUB_000032,CUST_00032,5681.96,failed,PROCESSING_TIMEOUT,timeout,0,2026-05-21 20:32:16.212199,2026-05-22 04:32:16.212199
SUB_000033,CUST_00033,10607.27,active,,,0,2026-06-02 20:32:16.212199,
SUB_000034,CUST_00034,4157.03,failed,UNKNOWN_ERROR,unknown_failure,0,2026-08-19 20:32:16.212199,2026-08-20 15:32:16.212199
SUB_000035,CUST_00035,6820.82,active,,,0,2026-03-01 20:32:16.212199,
SUB_000036,CUST_00036,10415.85,active,,,0,2026-05-31 20:32:16.213290,
SUB_000037,CUST_00037,11192.28,failed,AUTHENTICATION_FAILED,authentication_failed,0,2026-08-13 20:32:16.213290,2026-08-15 17:32:16.213290
SUB_000038,CUST_00038,13054.04,failed,PROCESSING_TIMEOUT,timeout,0,2026-05-23 20:32:16.213290,2026-05-24 21:32:16.213290
SUB_000039,CUST_00039,13352.18,active,,,0,2026-06-13 20:32:16.213290,
SUB_000040,CUST_00040,7094.63,active,,,0,2026-08-08 20:32:16.213290,
SUB_000041,CUST_00041,5641.43,active,,,0,2026-07-20 20:32:16.213290,
SUB_000042,CUST_00042,5652.45,active,,,0,2026-04-15 20:32:16.213290,
SUB_000043,CUST_00043,2902.11,cancelled,,,0,2026-08-08 20:32:16.213290,
SUB_000044,CUST_00044,3056.93,cancelled,,,0,2026-03-30 20:32:16.213290,
SUB_000045,CUST_00045,1670.84,active,,,0,2026-03-05 20:32:16.213290,
SUB_000046,CUST_00046,14524.62,active,,,0,2026-04-26 20:32:16.213290,
SUB_000047,CUST_00047,5502.75,active,,,0,2026-08-02 20:32:16.213290,
SUB_000048,CUST_00048,6823.26,active,,,0,2026-07-28 20:32:16.213290,
SUB_000049,CUST_00049,4130.99,failed,INSTRUMENT_EXPIRED,expired_instrument,1,2026-03-17 20:32:16.213290,2026-03-18 13:32:16.213290
SUB_000050,CUST_00050,10479.75,failed,POLICY_DECLINED,risk_decline,1,2026-05-02 20:32:16.213290,2026-05-03 17:32:16.213290
SUB_000051,CUST_00051,8794.53,failed,CARD_BLOCKED,blocked_instrument,2,2026-07-11 20:32:16.213290,2026-07-12 11:32:16.213290
SUB_000052,CUST_00052,4671.4,active,,,0,2026-08-18 20:32:16.213290,
SUB_000053,CUST_00053,2113.39,active,,,0,2026-07-11 20:32:16.213290,
SUB_000054,CUST_00054,5073.19,active,,,0,2026-08-14 20:32:16.213290,
