case_id,final_status,attempts,total_recovered,confidence_score,confidence_level,probability_confidence,action_margin,margin_confidence,audit_event_count
CASE_000001,escalated,2,0.0,0.9902723609325415,high,0.9837872682209023,0.9918936341104512,1.0,24
CASE_000002,recovered,1,1420.47,0.5977495585503432,medium,0.996249264250572,0.0,0.0,10
CASE_000003,recovered,1,38691.76,0.5559824151422136,medium,0.926637358570356,0.0,0.0,10
CASE_000004,stopped,1,0.0,0.3301701721525548,low,0.550283620254258,0.0,0.0,12
CASE_000005,escalated,1,0.0,0.8008328864208529,high,0.6680548107014215,0.8340274053507107,1.0,15
CASE_000006,escalated,2,0.0,0.6714943393237911,medium,0.45249056553965183,0.7262452827698259,1.0,24
CASE_000007,recovered,1,30960.84,0.5989080918638803,medium,0.9981801531064671,0.0,0.0,10
CASE_000008,escalated,0,0.0,0.9440428436223938,high,0.9067380727039895,0.0466309636480052,1.0,6
CASE_000009,recovered,1,79286.56,0.5824161953281813,medium,0.9706936588803023,0.0,0.0,10
CASE_000010,recovered,1,12025.11,0.3173322254291522,low,0.5288870423819203,0.0,0.0,10
CASE_000011,escalated,2,0.0,0.9885352515576429,high,0.9808920859294048,0.9904460429647024,1.0,24
CASE_000012,escalated,2,0.0,0.9924124321641175,high,0.9873540536068623,0.9936770268034312,1.0,24
CASE_000013,escalated,2,0.0,0.6903164815682052,medium,0.48386080261367526,0.7419304013068376,1.0,24
CASE_000014,escalated,2,0.0,0.5802878123016216,medium,0.30047968716936935,0.6502398435846847,1.0,24
CASE_000015,recovered,1,38614.79,0.40130264816835554,medium,0.6688377469472593,0.0,0.0,10
CASE_000016,escalated,0,0.0,0.5501770584601646,medium,0.2502950974336078,0.3748524512831961,1.0,6
CASE_000017,escalated,2,0.0,0.6600694582948464,medium,0.43344909715807733,0.7167245485790387,1.0,24
CASE_000018,recovered,1,19350.02,0.5256138184702883,medium,0.8760230307838139,0.0,0.0,10
CASE_000019,escalated,1,0.0,0.7538067691391344,high,0.5896779485652239,0.794838974282612,1.0,15
CASE_000020,recovered,1,48406.48,0.5310940207339598,medium,0.8851567012232664,0.0,0.0,10
CASE_000021,recovered,1,3320.57,0.5921356571770923,medium,0.9868927619618204,0.0,0.0,10
CASE_000022,escalated,2,0.0,0.9896610448745231,high,0.9827684081242052,0.9913842040621026,1.0,24
CASE_000023,recovered,1,14255.45,0.5787479666171997,medium,0.9645799443619996,0.0,0.0,10
CASE_000024,recovered,1,28434.15,0.5668160208251,medium,0.9446933680418332,0.0,0.0,10
CASE_000025,recovered,1,14447.0,0.5855605592098782,medium,0.9759342653497969,0.0,0.0,10
CASE_000026,escalated,2,0.0,0.7629256219211089,high,0.6048760365351815,0.8024380182675908,1.0,24
CASE_000027,escalated,2,0.0,0.9974248133086201,high,0.9957080221810335,0.9978540110905167,1.0,24
CASE_000028,escalated,2,0.0,0.9504723912809158,high,0.9174539854681929,0.9587269927340965,1.0,24
CASE_000029,recovered,1,11049.12,0.5956438587203222,medium,0.9927397645338705,0.0,0.0,10
CASE_000030,recovered,1,24457.56,0.5986926042881879,medium,0.99782100714698,0.0,0.0,10
CASE_000031,recovered,1,34733.4,0.3247223741767054,low,0.5412039569611757,0.0,0.0,10
CASE_000032,recovered,1,5627.65,0.5499940031895888,medium,0.9166566719826481,0.0,0.0,10
CASE_000033,recovered,1,6683.25,0.37513427795909793,low,0.6252237965984966,0.0,0.0,10
CASE_000034,recovered,1,23079.27,0.23910758062744195,low,0.3985126343790699,0.0,0.0,10
CASE_000035,recovered,1,33025.51,0.5906841382159087,medium,0.9844735636931812,0.0,0.0,10
CASE_000036,recovered,1,12418.3,0.3765681573207279,low,0.6276135955345465,0.0,0.0,10
CASE_000037,recovered,1,15129.89,0.5727407602606714,medium,0.9545679337677857,0.0,0.0,10
