case_id,customer_id,action,recovered,recovered_amount,attempts
CASE_000001,UNSEEN_CUST_00468,retry,False,0.0,1
CASE_000002,UNSEEN_CUST_00049,retry,True,1420.47,1
CASE_000003,UNSEEN_CUST_01721,retry,True,38691.76,1
CASE_000004,UNSEEN_CUST_00688,retry,False,0.0,1
CASE_000005,UNSEEN_CUST_01108,retry,False,0.0,1
CASE_000006,UNSEEN_CUST_00948,retry,False,0.0,1
CASE_000007,UNSEEN_CUST_01000,retry,True,30960.84,1
CASE_000008,UNSEEN_CUST_00278,retry,False,0.0,1
CASE_000009,UNSEEN_CUST_00667,retry,True,79286.56,1
CASE_000010,UNSEEN_CUST_00539,retry,True,12025.11,1
CASE_000011,UNSEEN_CUST_00722,retry,False,0.0,1
CASE_000012,UNSEEN_CUST_01747,retry,False,0.0,1
CASE_000013,UNSEEN_CUST_00289,retry,False,0.0,1
CASE_000014,UNSEEN_CUST_01788,retry,False,0.0,1
CASE_000015,UNSEEN_CUST_00044,retry,True,38614.79,1
CASE_000016,UNSEEN_CUST_01695,retry,False,0.0,1
CASE_000017,UNSEEN_CUST_00300,retry,False,0.0,1
CASE_000018,UNSEEN_CUST_01742,retry,True,19350.02,1
CASE_000019,UNSEEN_CUST_00310,retry,False,0.0,1
CASE_000020,UNSEEN_CUST_01921,retry,False,0.0,1
CASE_000021,UNSEEN_CUST_01565,retry,True,3320.57,1
CASE_000022,UNSEEN_CUST_00646,retry,False,0.0,1
CASE_000023,UNSEEN_CUST_00296,retry,True,14255.45,1
CASE_000024,UNSEEN_CUST_00294,retry,True,28434.15,1
CASE_000025,UNSEEN_CUST_00937,retry,True,14447.0,1
CASE_000026,UNSEEN_CUST_01516,retry,False,0.0,1
CASE_000027,UNSEEN_CUST_01025,retry,False,0.0,1
CASE_000028,UNSEEN_CUST_01431,retry,False,0.0,1
CASE_000029,UNSEEN_CUST_01039,retry,True,11049.12,1
CASE_000030,UNSEEN_CUST_00219,retry,True,24457.56,1
CASE_000031,UNSEEN_CUST_01431,retry,False,0.0,1
CASE_000032,UNSEEN_CUST_00300,retry,True,5627.65,1
CASE_000033,UNSEEN_CUST_00454,retry,False,0.0,1
CASE_000034,UNSEEN_CUST_01029,retry,False,0.0,1
CASE_000035,UNSEEN_CUST_00941,retry,True,33025.51,1
CASE_000036,UNSEEN_CUST_01055,retry,False,0.0,1
CASE_000037,UNSEEN_CUST_00813,retry,True,15129.89,1
CASE_000038,UNSEEN_CUST_00647,retry,False,0.0,1
CASE_000039,UNSEEN_CUST_00908,retry,False,0.0,1
CASE_000040,UNSEEN_CUST_00413,retry,True,48376.96,1
CASE_000041,UNSEEN_CUST_01137,retry,False,0.0,1
CASE_000042,UNSEEN_CUST_00928,retry,False,0.0,1
CASE_000043,UNSEEN_CUST_01951,retry,False,0.0,1
CASE_000044,UNSEEN_CUST_00185,retry,True,29678.3,1
CASE_000045,UNSEEN_CUST_00993,retry,False,0.0,1
CASE_000046,UNSEEN_CUST_00581,retry,True,8015.78,1
CASE_000047,UNSEEN_CUST_00963,retry,False,0.0,1
CASE_000048,UNSEEN_CUST_01884,retry,False,0.0,1
CASE_000049,UNSEEN_CUST_01340,retry,True,12491.06,1
CASE_000050,UNSEEN_CUST_01418,retry,False,0.0,1
CASE_000051,UNSEEN_CUST_00977,retry,True,13861.29,1
CASE_000052,UNSEEN_CUST_01654,retry,False,0.0,1
CASE_000053,UNSEEN_CUST_01787,retry,False,0.0,1
CASE_000054,UNSEEN_CUST_01093,retry,False,0.0,1
CASE_000055,UNSEEN_CUST_00390,retry,False,0.0,1
CASE_000056,UNSEEN_CUST_00832,retry,False,0.0,1
CASE_000057,UNSEEN_CUST_00577,retry,True,5593.76,1
CASE_000058,UNSEEN_CUST_01029,retry,True,31970.28,1
CASE_000059,UNSEEN_CUST_00096,retry,True,16523.99,1
CASE_000060,UNSEEN_CUST_00342,retry,True,7296.72,1
CASE_000061,UNSEEN_CUST_01725,retry,False,0.0,1
CASE_000062,UNSEEN_CUST_00402,retry,False,0.0,1
CASE_000063,UNSEEN_CUST_01023,retry,False,0.0,1
CASE_000064,UNSEEN_CUST_00122,retry,False,0.0,1
CASE_000065,UNSEEN_CUST_01194,retry,False,0.0,1
CASE_000066,UNSEEN_CUST_01359,retry,False,0.0,1
CASE_000067,UNSEEN_CUST_01143,retry,True,47906.72,1
CASE_000068,UNSEEN_CUST_00492,retry,False,0.0,1
CASE_000069,UNSEEN_CUST_01342,retry,True,5854.75,1
CASE_000070,UNSEEN_CUST_00342,retry,False,0.0,1
CASE_000071,UNSEEN_CUST_00084,retry,False,0.0,1
CASE_000072,UNSEEN_CUST_00163,retry,False,0.0,1
CASE_000073,UNSEEN_CUST_00690,retry,False,0.0,1
CASE_000074,UNSEEN_CUST_00914,retry,True,87671.29,1
CASE_000075,UNSEEN_CUST_01447,retry,False,0.0,1
CASE_000076,UNSEEN_CUST_01028,retry,True,16650.47,1
CASE_000077,UNSEEN_CUST_00556,retry,False,0.0,1
CASE_000078,UNSEEN_CUST_00349,retry,False,0.0,1
CASE_000079,UNSEEN_CUST_00078,retry,True,18215.72,1
CASE_000080,UNSEEN_CUST_01241,retry,False,0.0,1
CASE_000081,UNSEEN_CUST_00212,retry,False,0.0,1
CASE_000082,UNSEEN_CUST_00228,retry,True,2526.88,1
CASE_000083,UNSEEN_CUST_01933,retry,False,0.0,1
CASE_000084,UNSEEN_CUST_01052,retry,True,30448.96,1
CASE_000085,UNSEEN_CUST_00198,retry,False,0.0,1
CASE_000086,UNSEEN_CUST_01583,retry,False,0.0,1
CASE_000087,UNSEEN_CUST_00603,retry,False,0.0,1
CASE_000088,UNSEEN_CUST_00025,retry,False,0.0,1
CASE_000089,UNSEEN_CUST_01664,retry,False,0.0,1
CASE_000090,UNSEEN_CUST_00351,retry,False,0.0,1
CASE_000091,UNSEEN_CUST_01084,retry,True,37061.78,1
CASE_000092,UNSEEN_CUST_00575,retry,True,3740.64,1
CASE_000093,UNSEEN_CUST_01850,retry,False,0.0,1
CASE_000094,UNSEEN_CUST_01010,retry,True,32450.61,1
CASE_000095,UNSEEN_CUST_00055,retry,False,0.0,1
CASE_000096,UNSEEN_CUST_01872,retry,False,0.0,1
CASE_000097,UNSEEN_CUST_00683,retry,True,858.15,1
CASE_000098,UNSEEN_CUST_01759,retry,True,14093.98,1
CASE_000099,UNSEEN_CUST_00676,retry,True,49823.04,1
CASE_000100,UNSEEN_CUST_00751,retry,False,0.0,1
CASE_000101,UNSEEN_CUST_01099,retry,True,35509.4,1
CASE_000102,UNSEEN_CUST_01666,retry,True,3739.51,1
CASE_000103,UNSEEN_CUST_01343,retry,True,42516.73,1
CASE_000104,UNSEEN_CUST_00608,retry,False,0.0,1
CASE_000105,UNSEEN_CUST_01140,retry,False,0.0,1
CASE_000106,UNSEEN_CUST_01919,retry,True,48680.57,1
CASE_000107,UNSEEN_CUST_00833,retry,True,40620.4,1
CASE_000108,UNSEEN_CUST_01952,retry,False,0.0,1
CASE_000109,UNSEEN_CUST_01284,retry,False,0.0,1
CASE_000110,UNSEEN_CUST_00521,retry,True,19790.09,1
CASE_000111,UNSEEN_CUST_00636,retry,False,0.0,1
CASE_000112,UNSEEN_CUST_00021,retry,False,0.0,1
CASE_000113,UNSEEN_CUST_01983,retry,False,0.0,1
CASE_000114,UNSEEN_CUST_00659,retry,True,20190.5,1
CASE_000115,UNSEEN_CUST_01798,retry,True,10972.66,1
CASE_000116,UNSEEN_CUST_00011,retry,False,0.0,1
CASE_000117,UNSEEN_CUST_01616,retry,False,0.0,1
CASE_000118,UNSEEN_CUST_00256,retry,False,0.0,1
CASE_000119,UNSEEN_CUST_00996,retry,True,6197.37,1
CASE_000120,UNSEEN_CUST_01616,retry,False,0.0,1
CASE_000121,UNSEEN_CUST_00973,retry,False,0.0,1
CASE_000122,UNSEEN_CUST_01635,retry,False,0.0,1
CASE_000123,UNSEEN_CUST_01080,retry,True,33421.96,1
CASE_000124,UNSEEN_CUST_00666,retry,False,0.0,1
CASE_000125,UNSEEN_CUST_00151,retry,True,43669.43,1
CASE_000126,UNSEEN_CUST_01527,retry,False,0.0,1
CASE_000127,UNSEEN_CUST_01966,retry,True,16514.79,1
CASE_000128,UNSEEN_CUST_01320,retry,True,13629.93,1
CASE_000129,UNSEEN_CUST_00892,retry,False,0.0,1
CASE_000130,UNSEEN_CUST_00144,retry,False,0.0,1
CASE_000131,UNSEEN_CUST_01693,retry,False,0.0,1
CASE_000132,UNSEEN_CUST_00577,retry,False,0.0,1
CASE_000133,UNSEEN_CUST_01175,retry,False,0.0,1
CASE_000134,UNSEEN_CUST_00990,retry,False,0.0,1
CASE_000135,UNSEEN_CUST_01044,retry,False,0.0,1
CASE_000136,UNSEEN_CUST_01234,retry,True,19946.97,1
CASE_000137,UNSEEN_CUST_00102,retry,True,6230.58,1
CASE_000138,UNSEEN_CUST_00892,retry,True,1893.39,1
CASE_000139,UNSEEN_CUST_00614,retry,False,0.0,1
CASE_000140,UNSEEN_CUST_00486,retry,True,42830.99,1
CASE_000141,UNSEEN_CUST_00725,retry,False,0.0,1
CASE_000142,UNSEEN_CUST_00903,retry,True,54444.82,1
CASE_000143,UNSEEN_CUST_00075,retry,False,0.0,1
CASE_000144,UNSEEN_CUST_01963,retry,True,13984.24,1
CASE_000145,UNSEEN_CUST_01448,retry,True,9538.04,1
CASE_000146,UNSEEN_CUST_01683,retry,False,0.0,1
CASE_000147,UNSEEN_CUST_01754,retry,False,0.0,1
CASE_000148,UNSEEN_CUST_00253,retry,True,21872.29,1
CASE_000149,UNSEEN_CUST_00179,retry,True,11521.67,1
CASE_000150,UNSEEN_CUST_01716,retry,False,0.0,1
CASE_000151,UNSEEN_CUST_01856,retry,True,14824.9,1
CASE_000152,UNSEEN_CUST_00239,retry,True,4987.42,1
CASE_000153,UNSEEN_CUST_00356,retry,False,0.0,1
CASE_000154,UNSEEN_CUST_00968,retry,False,0.0,1
CASE_000155,UNSEEN_CUST_00543,retry,False,0.0,1
CASE_000156,UNSEEN_CUST_01484,retry,True,49397.63,1
CASE_000157,UNSEEN_CUST_01900,retry,False,0.0,1
CASE_000158,UNSEEN_CUST_00375,retry,False,0.0,1
CASE_000159,UNSEEN_CUST_00484,retry,False,0.0,1
CASE_000160,UNSEEN_CUST_00334,retry,False,0.0,1
CASE_000161,UNSEEN_CUST_01493,retry,True,17307.39,1
CASE_000162,UNSEEN_CUST_00149,retry,False,0.0,1
CASE_000163,UNSEEN_CUST_01518,retry,False,0.0,1
CASE_000164,UNSEEN_CUST_00090,retry,False,0.0,1
CASE_000165,UNSEEN_CUST_00480,retry,False,0.0,1
CASE_000166,UNSEEN_CUST_01648,retry,False,0.0,1
CASE_000167,UNSEEN_CUST_00398,retry,True,46126.29,1
CASE_000168,UNSEEN_CUST_01603,retry,False,0.0,1
CASE_000169,UNSEEN_CUST_00939,retry,False,0.0,1
CASE_000170,UNSEEN_CUST_00941,retry,False,0.0,1
CASE_000171,UNSEEN_CUST_01784,retry,False,0.0,1
CASE_000172,UNSEEN_CUST_00838,retry,True,4133.45,1
CASE_000173,UNSEEN_CUST_00074,retry,True,4223.95,1
CASE_000174,UNSEEN_CUST_00556,retry,True,9359.3,1
CASE_000175,UNSEEN_CUST_00471,retry,False,0.0,1
CASE_000176,UNSEEN_CUST_00311,retry,False,0.0,1
CASE_000177,UNSEEN_CUST_00486,retry,False,0.0,1
CASE_000178,UNSEEN_CUST_01125,retry,False,0.0,1
CASE_000179,UNSEEN_CUST_01446,retry,True,42980.65,1
CASE_000180,UNSEEN_CUST_01906,retry,False,0.0,1
CASE_000181,UNSEEN_CUST_00526,retry,False,0.0,1
CASE_000182,UNSEEN_CUST_00004,retry,True,40534.39,1
CASE_000183,UNSEEN_CUST_00402,retry,True,43992.16,1
CASE_000184,UNSEEN_CUST_01047,retry,False,0.0,1
CASE_000185,UNSEEN_CUST_00568,retry,True,16018.4,1
CASE_000186,UNSEEN_CUST_00011,retry,True,1728.8,1
CASE_000187,UNSEEN_CUST_01621,retry,True,4723.81,1
CASE_000188,UNSEEN_CUST_01454,retry,True,46505.82,1
CASE_000189,UNSEEN_CUST_01784,retry,False,0.0,1
CASE_000190,UNSEEN_CUST_01836,retry,False,0.0,1
CASE_000191,UNSEEN_CUST_00355,retry,True,9329.76,1
CASE_000192,UNSEEN_CUST_01955,retry,True,12978.43,1
CASE_000193,UNSEEN_CUST_01590,retry,True,19958.48,1
CASE_000194,UNSEEN_CUST_00742,retry,False,0.0,1
CASE_000195,UNSEEN_CUST_01942,retry,False,0.0,1
CASE_000196,UNSEEN_CUST_01169,retry,False,0.0,1
CASE_000197,UNSEEN_CUST_01427,retry,True,1868.85,1
CASE_000198,UNSEEN_CUST_01316,retry,False,0.0,1
CASE_000199,UNSEEN_CUST_01866,retry,False,0.0,1
CASE_000200,UNSEEN_CUST_00400,retry,True,35596.74,1
CASE_000201,UNSEEN_CUST_00905,retry,False,0.0,1
CASE_000202,UNSEEN_CUST_00070,retry,False,0.0,1
CASE_000203,UNSEEN_CUST_01728,retry,False,0.0,1
CASE_000204,UNSEEN_CUST_00034,retry,False,0.0,1
CASE_000205,UNSEEN_CUST_00513,retry,False,0.0,1
CASE_000206,UNSEEN_CUST_00180,retry,False,0.0,1
CASE_000207,UNSEEN_CUST_00300,retry,False,0.0,1
CASE_000208,UNSEEN_CUST_01564,retry,False,0.0,1
CASE_000209,UNSEEN_CUST_01433,retry,False,0.0,1
CASE_000210,UNSEEN_CUST_00507,retry,False,0.0,1
CASE_000211,UNSEEN_CUST_01510,retry,True,36630.47,1
CASE_000212,UNSEEN_CUST_01470,retry,True,14893.94,1
CASE_000213,UNSEEN_CUST_00633,retry,False,0.0,1
CASE_000214,UNSEEN_CUST_01133,retry,True,6973.12,1
CASE_000215,UNSEEN_CUST_01462,retry,False,0.0,1
CASE_000216,UNSEEN_CUST_01273,retry,False,0.0,1
CASE_000217,UNSEEN_CUST_01399,retry,False,0.0,1
CASE_000218,UNSEEN_CUST_00943,retry,True,6344.03,1
CASE_000219,UNSEEN_CUST_01831,retry,True,89807.01,1
CASE_000220,UNSEEN_CUST_00556,retry,True,2293.3,1
CASE_000221,UNSEEN_CUST_01055,retry,True,17794.32,1
CASE_000222,UNSEEN_CUST_00818,retry,True,24064.36,1
CASE_000223,UNSEEN_CUST_01838,retry,True,27754.03,1
CASE_000224,UNSEEN_CUST_01943,retry,True,19379.57,1
CASE_000225,UNSEEN_CUST_00653,retry,False,0.0,1
CASE_000226,UNSEEN_CUST_00813,retry,False,0.0,1
CASE_000227,UNSEEN_CUST_00506,retry,True,9672.35,1
CASE_000228,UNSEEN_CUST_00340,retry,True,45109.76,1
CASE_000229,UNSEEN_CUST_01155,retry,False,0.0,1
CASE_000230,UNSEEN_CUST_00364,retry,False,0.0,1
CASE_000231,UNSEEN_CUST_00120,retry,False,0.0,1
CASE_000232,UNSEEN_CUST_00809,retry,True,22550.75,1
CASE_000233,UNSEEN_CUST_00539,retry,False,0.0,1
CASE_000234,UNSEEN_CUST_00151,retry,True,41459.33,1
CASE_000235,UNSEEN_CUST_00183,retry,False,0.0,1
CASE_000236,UNSEEN_CUST_00753,retry,True,1553.67,1
CASE_000237,UNSEEN_CUST_01935,retry,False,0.0,1
CASE_000238,UNSEEN_CUST_01987,retry,True,100738.62,1
CASE_000239,UNSEEN_CUST_00179,retry,True,45594.73,1
CASE_000240,UNSEEN_CUST_01840,retry,False,0.0,1
CASE_000241,UNSEEN_CUST_00624,retry,False,0.0,1
CASE_000242,UNSEEN_CUST_00016,retry,False,0.0,1
CASE_000243,UNSEEN_CUST_00748,retry,False,0.0,1
CASE_000244,UNSEEN_CUST_00457,retry,False,0.0,1
CASE_000245,UNSEEN_CUST_01376,retry,False,0.0,1
CASE_000246,UNSEEN_CUST_01433,retry,True,8184.92,1
CASE_000247,UNSEEN_CUST_01780,retry,False,0.0,1
CASE_000248,UNSEEN_CUST_01857,retry,False,0.0,1
CASE_000249,UNSEEN_CUST_00856,retry,False,0.0,1
CASE_000250,UNSEEN_CUST_01724,retry,False,0.0,1
CASE_000251,UNSEEN_CUST_01943,retry,True,14726.94,1
CASE_000252,UNSEEN_CUST_01761,retry,False,0.0,1
CASE_000253,UNSEEN_CUST_00089,retry,False,0.0,1
CASE_000254,UNSEEN_CUST_01319,retry,False,0.0,1
CASE_000255,UNSEEN_CUST_01215,retry,True,7306.05,1
CASE_000256,UNSEEN_CUST_00485,retry,False,0.0,1
CASE_000257,UNSEEN_CUST_00601,retry,True,34595.21,1
CASE_000258,UNSEEN_CUST_00813,retry,True,3360.81,1
CASE_000259,UNSEEN_CUST_00654,retry,False,0.0,1
CASE_000260,UNSEEN_CUST_01389,retry,False,0.0,1
CASE_000261,UNSEEN_CUST_00845,retry,False,0.0,1
CASE_000262,UNSEEN_CUST_00518,retry,False,0.0,1
CASE_000263,UNSEEN_CUST_01194,retry,True,44260.21,1
CASE_000264,UNSEEN_CUST_01389,retry,False,0.0,1
CASE_000265,UNSEEN_CUST_00471,retry,False,0.0,1
CASE_000266,UNSEEN_CUST_01515,retry,True,19683.03,1
CASE_000267,UNSEEN_CUST_01047,retry,False,0.0,1
CASE_000268,UNSEEN_CUST_01430,retry,True,7748.65,1
CASE_000269,UNSEEN_CUST_00851,retry,False,0.0,1
CASE_000270,UNSEEN_CUST_00219,retry,True,4262.57,1
CASE_000271,UNSEEN_CUST_00473,retry,False,0.0,1
CASE_000272,UNSEEN_CUST_00748,retry,True,29098.76,1
CASE_000273,UNSEEN_CUST_00612,retry,False,0.0,1
CASE_000274,UNSEEN_CUST_00464,retry,True,27011.77,1
CASE_000275,UNSEEN_CUST_01559,retry,True,6611.67,1
CASE_000276,UNSEEN_CUST_01720,retry,False,0.0,1
CASE_000277,UNSEEN_CUST_00374,retry,False,0.0,1
CASE_000278,UNSEEN_CUST_00399,retry,False,0.0,1
CASE_000279,UNSEEN_CUST_00536,retry,False,0.0,1
CASE_000280,UNSEEN_CUST_00496,retry,False,0.0,1
CASE_000281,UNSEEN_CUST_01931,retry,True,50097.04,1
CASE_000282,UNSEEN_CUST_00660,retry,False,0.0,1
CASE_000283,UNSEEN_CUST_00670,retry,True,22716.42,1
CASE_000284,UNSEEN_CUST_01952,retry,False,0.0,1
CASE_000285,UNSEEN_CUST_00162,retry,False,0.0,1
CASE_000286,UNSEEN_CUST_01339,retry,True,49150.95,1
CASE_000287,UNSEEN_CUST_01048,retry,True,7701.76,1
CASE_000288,UNSEEN_CUST_01265,retry,False,0.0,1
CASE_000289,UNSEEN_CUST_01677,retry,True,34652.38,1
CASE_000290,UNSEEN_CUST_00611,retry,True,26122.75,1
CASE_000291,UNSEEN_CUST_00078,retry,False,0.0,1
CASE_000292,UNSEEN_CUST_00891,retry,False,0.0,1
CASE_000293,UNSEEN_CUST_00540,retry,False,0.0,1
CASE_000294,UNSEEN_CUST_01264,retry,True,7028.8,1
CASE_000295,UNSEEN_CUST_01211,retry,False,0.0,1
CASE_000296,UNSEEN_CUST_00856,retry,False,0.0,1
CASE_000297,UNSEEN_CUST_01217,retry,False,0.0,1
CASE_000298,UNSEEN_CUST_01819,retry,False,0.0,1
CASE_000299,UNSEEN_CUST_00866,retry,False,0.0,1
CASE_000300,UNSEEN_CUST_00377,retry,False,0.0,1
CASE_000301,UNSEEN_CUST_00112,retry,False,0.0,1
CASE_000302,UNSEEN_CUST_01570,retry,False,0.0,1
