case_id,customer_id,failure_category,final_action,policy_action,permitted_actions,recovery_sequence,decision_reason,guardrail_status,guardrail_reason,recovery_probability,expected_recovery,action_cost,erv
CASE_000001,UNSEEN_CUST_00468,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9918936341104512,13965.168042731277,2.0,13963.168042731277
CASE_000002,UNSEEN_CUST_00049,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.998124632125286,1417.8060961950048,2.0,1415.8060961950048
CASE_000003,UNSEEN_CUST_01721,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.963318679285178,37272.49514241909,2.0,37270.49514241909
CASE_000004,UNSEEN_CUST_00688,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.775141810127129,15324.43731494182,5.0,15319.43731494182
CASE_000005,UNSEEN_CUST_01108,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8340274053507107,15727.905324074523,5.0,15722.905324074523
CASE_000006,UNSEEN_CUST_00948,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7262452827698259,24761.616151697493,5.0,24756.616151697493
CASE_000007,UNSEEN_CUST_01000,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9990900765532336,30932.668005752417,2.0,30930.668005752417
CASE_000008,UNSEEN_CUST_00278,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.0466309636480052,1855.856396034232,25.0,1830.856396034232
CASE_000009,UNSEEN_CUST_00667,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,High-value case permitted for controlled recovery.,0.9853468294401512,78124.76051321632,2.0,78122.76051321632
CASE_000010,UNSEEN_CUST_00539,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.7644435211909602,9192.517431108628,2.0,9190.517431108628
CASE_000011,UNSEEN_CUST_00722,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9904460429647024,23162.204695736636,2.0,23160.204695736636
CASE_000012,UNSEEN_CUST_01747,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9936770268034312,33614.36481873344,2.0,33612.36481873344
CASE_000013,UNSEEN_CUST_00289,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7419304013068376,3104.3332500199785,5.0,3099.3332500199785
CASE_000014,UNSEEN_CUST_01788,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6502398435846847,26711.0464770528,5.0,26706.0464770528
CASE_000015,UNSEEN_CUST_00044,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8344188734736296,32220.909571220775,5.0,32215.909571220775
CASE_000016,UNSEEN_CUST_01695,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.3748524512831961,5046.012548032027,25.0,5021.012548032027
CASE_000017,UNSEEN_CUST_00300,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7167245485790387,7039.453498778745,5.0,7034.453498778745
CASE_000018,UNSEEN_CUST_01742,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.938011515391907,18150.541583063707,2.0,18148.541583063707
CASE_000019,UNSEEN_CUST_00310,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.794838974282612,20985.10014731724,5.0,20980.10014731724
CASE_000020,UNSEEN_CUST_01921,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.9425783506116332,45626.90007731501,5.0,45621.90007731501
CASE_000021,UNSEEN_CUST_01565,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9934463809809102,3298.808249293781,2.0,3296.808249293781
CASE_000022,UNSEEN_CUST_00646,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9913842040621026,36995.13735851406,2.0,36993.13735851406
CASE_000023,UNSEEN_CUST_00296,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9822899721809998,14002.985583927632,2.0,14000.985583927632
CASE_000024,UNSEEN_CUST_00294,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9723466840209166,27647.851465453343,2.0,27645.851465453343
CASE_000025,UNSEEN_CUST_00937,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9879671326748984,14273.161165754256,2.0,14271.161165754256
CASE_000026,UNSEEN_CUST_01516,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8024380182675908,38514.21634378042,5.0,38509.21634378042
CASE_000027,UNSEEN_CUST_01025,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9978540110905167,49372.888464528456,2.0,49370.888464528456
CASE_000028,UNSEEN_CUST_01431,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9587269927340965,29771.72320889906,2.0,29769.72320889906
