case_id,customer_id,customer_segment,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts,communication_opt_in,action,recovery_amount,action_cost,failure_category,amount_bucket,attempt_number,historical_failure_rate,customer_success_rate,failure_to_success_ratio,amount_to_lifetime_value_ratio,payment_history_volume,recovery_probability,expected_recovery,erv
CASE_000001,UNSEEN_CUST_00468,regular,48776.59,2,1,3,True,retry,14079.3,2.0,temporary_bank_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.2886487144755302,3,0.9918936341104512,13965.168042731275,13963.168042731275
CASE_000001,UNSEEN_CUST_00468,regular,48776.59,2,1,3,True,reminder,14079.3,5.0,temporary_bank_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.2886487144755302,3,0.9918936341104512,13965.168042731275,13960.168042731275
CASE_000001,UNSEEN_CUST_00468,regular,48776.59,2,1,3,True,escalate,14079.3,25.0,temporary_bank_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.2886487144755302,3,0.9918936341104512,13965.168042731275,13940.168042731275
CASE_000002,UNSEEN_CUST_00049,new,2205.41,0,1,1,True,retry,1420.47,2.0,temporary_bank_failure,0_5k,1,1.0,0.0,1.0,0.6440843199223728,1,0.9981246321252859,1417.8060961950048,1415.8060961950048
CASE_000002,UNSEEN_CUST_00049,new,2205.41,0,1,1,True,reminder,1420.47,5.0,temporary_bank_failure,0_5k,1,1.0,0.0,1.0,0.6440843199223728,1,0.9981246321252859,1417.8060961950048,1412.8060961950048
CASE_000002,UNSEEN_CUST_00049,new,2205.41,0,1,1,True,escalate,1420.47,25.0,temporary_bank_failure,0_5k,1,1.0,0.0,1.0,0.6440843199223728,1,0.9981246321252859,1417.8060961950048,1392.8060961950048
CASE_000003,UNSEEN_CUST_01721,regular,47852.5,4,2,6,True,retry,38691.76,2.0,timeout,25k_100k,1,0.3333333333333333,0.6666666666666666,0.5,0.8085629799905961,6,0.9633186792851781,37272.49514241909,37270.49514241909
CASE_000003,UNSEEN_CUST_01721,regular,47852.5,4,2,6,True,reminder,38691.76,5.0,timeout,25k_100k,1,0.3333333333333333,0.6666666666666666,0.5,0.8085629799905961,6,0.9633186792851781,37272.49514241909,37267.49514241909
CASE_000003,UNSEEN_CUST_01721,regular,47852.5,4,2,6,True,escalate,38691.76,25.0,timeout,25k_100k,1,0.3333333333333333,0.6666666666666666,0.5,0.8085629799905961,6,0.9633186792851781,37272.49514241909,37247.49514241909
CASE_000004,UNSEEN_CUST_00688,regular,38422.93,2,1,3,False,retry,19769.85,2.0,unknown_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.5145325981126374,3,0.775141810127129,15324.43731494182,15322.43731494182
CASE_000004,UNSEEN_CUST_00688,regular,38422.93,2,1,3,False,reminder,19769.85,5.0,unknown_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.5145325981126374,3,0.775141810127129,15324.43731494182,15319.43731494182
CASE_000004,UNSEEN_CUST_00688,regular,38422.93,2,1,3,False,escalate,19769.85,25.0,unknown_failure,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.5145325981126374,3,0.775141810127129,15324.43731494182,15299.43731494182
CASE_000005,UNSEEN_CUST_01108,regular,79982.84,2,1,3,True,retry,18857.78,2.0,expired_instrument,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.23577282327059154,3,0.8340274053507107,15727.905324074525,15725.905324074525
CASE_000005,UNSEEN_CUST_01108,regular,79982.84,2,1,3,True,reminder,18857.78,5.0,expired_instrument,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.23577282327059154,3,0.8340274053507107,15727.905324074525,15722.905324074525
CASE_000005,UNSEEN_CUST_01108,regular,79982.84,2,1,3,True,escalate,18857.78,25.0,expired_instrument,5k_25k,1,0.3333333333333333,0.6666666666666666,0.5,0.23577282327059154,3,0.8340274053507107,15727.905324074525,15702.905324074525
CASE_000006,UNSEEN_CUST_00948,regular,48795.2,3,1,4,True,retry,34095.39,2.0,unknown_failure,25k_100k,1,0.25,0.75,0.3333333333333333,0.6987447535823196,4,0.7262452827698259,24761.616151697493,24759.616151697493
