case_id,customer_id,event_ids,surfaces,event_types,recovery_amount,failure_categories,dedup_status,dedup_score,case_created_at
CASE_000001,UNSEEN_CUST_00468,UNSEEN_PAY_003377|UNSEEN_CHK_002628,payment|checkout,payment_failed|checkout_abandoned,14079.3,temporary_bank_failure,matched,0.9985471105334309,2026-06-20 19:36:41.963990
CASE_000002,UNSEEN_CUST_00049,UNSEEN_PAY_006628|UNSEEN_CHK_001988,payment|checkout,payment_failed|checkout_abandoned,1420.47,temporary_bank_failure,matched,0.9982331728230797,2026-07-01 11:12:42.118071
CASE_000003,UNSEEN_CUST_01721,UNSEEN_PAY_001083|UNSEEN_CHK_002392,payment|checkout,payment_failed|checkout_abandoned,38691.76,timeout,matched,0.9974761631704298,2026-07-13 17:52:41.856478
CASE_000004,UNSEEN_CUST_00688,UNSEEN_PAY_001850|UNSEEN_CHK_002479,payment|checkout,payment_failed|checkout_abandoned,19769.85,unknown_failure,matched,0.9965171776720613,2026-06-10 07:31:41.889985
CASE_000005,UNSEEN_CUST_01108,UNSEEN_PAY_006369|UNSEEN_CHK_000148,payment|checkout,payment_failed|checkout_abandoned,18857.78,expired_instrument,matched,0.9958060139281153,2026-08-07 19:52:42.107065
CASE_000006,UNSEEN_CUST_00948,UNSEEN_PAY_000177|UNSEEN_CHK_000370,payment|checkout,payment_failed|checkout_abandoned,34095.39,unknown_failure,matched,0.994714555252191,2026-08-19 08:48:41.804579
CASE_000007,UNSEEN_CUST_01000,UNSEEN_PAY_003628|UNSEEN_CHK_003166,payment|checkout,payment_failed|checkout_abandoned,30960.84,temporary_bank_failure,matched,0.9943417071371449,2026-06-15 13:20:41.978068
CASE_000008,UNSEEN_CUST_00278,UNSEEN_PAY_005949|UNSEEN_CHK_001300,payment|checkout,payment_failed|checkout_abandoned,39798.8,risk_decline,matched,0.9936843210236377,2026-07-01 09:44:42.083070
CASE_000009,UNSEEN_CUST_00667,UNSEEN_PAY_000931|UNSEEN_CHK_002883,payment|checkout,payment_failed|checkout_abandoned,79286.56,timeout,matched,0.9935260049118035,2026-08-04 08:57:41.849478
CASE_000010,UNSEEN_CUST_00539,UNSEEN_PAY_000425|UNSEEN_CHK_001379,payment|checkout,payment_failed|checkout_abandoned,12025.11,temporary_bank_failure,matched,0.9934679370916357,2026-06-06 17:04:41.818991
CASE_000011,UNSEEN_CUST_00722,UNSEEN_PAY_005594|UNSEEN_CHK_002082,payment|checkout,payment_failed|checkout_abandoned,23385.63,temporary_bank_failure,matched,0.9933521490191484,2026-08-23 12:59:42.064990
CASE_000012,UNSEEN_CUST_01747,UNSEEN_PAY_003160|UNSEEN_CHK_001463,payment|checkout,payment_failed|checkout_abandoned,33828.26,timeout,matched,0.9930907780785783,2026-06-15 13:38:41.950990
CASE_000013,UNSEEN_CUST_00289,UNSEEN_PAY_004285|UNSEEN_CHK_002610,payment|checkout,payment_failed|checkout_abandoned,4184.13,authentication_failed,matched,0.9926875300241627,2026-06-21 23:20:42.008077
CASE_000014,UNSEEN_CUST_01788,UNSEEN_PAY_003435|UNSEEN_CHK_003064,payment|checkout,payment_failed|checkout_abandoned,41078.76,unknown_failure,matched,0.9914694081970017,2026-07-14 07:25:41.966990
CASE_000015,UNSEEN_CUST_00044,UNSEEN_PAY_004623|UNSEEN_CHK_002316,payment|checkout,payment_failed|checkout_abandoned,38614.79,insufficient_funds,matched,0.991072842886826,2026-08-23 04:56:42.022987
CASE_000016,UNSEEN_CUST_01695,UNSEEN_PAY_001047|UNSEEN_CHK_001456,payment|checkout,payment_failed|checkout_abandoned,13461.33,risk_decline,matched,0.9908330677577922,2026-05-31 06:52:41.854479
CASE_000017,UNSEEN_CUST_00300,UNSEEN_PAY_004971|UNSEEN_CHK_002587,payment|checkout,payment_failed|checkout_abandoned,9821.7,insufficient_funds,matched,0.9904717360538399,2026-07-12 05:58:42.037077
CASE_000018,UNSEEN_CUST_01742,UNSEEN_PAY_002610|UNSEEN_CHK_000971,payment|checkout,payment_failed|checkout_abandoned,19350.02,timeout,matched,0.9901179904034553,2026-08-21 13:03:41.922985
CASE_000019,UNSEEN_CUST_00310,UNSEEN_PAY_000224|UNSEEN_CHK_000890,payment|checkout,payment_failed|checkout_abandoned,26401.7,expired_instrument,matched,0.9898081941693149,2026-08-08 03:18:41.807579
CASE_000020,UNSEEN_CUST_01921,UNSEEN_PAY_005126|UNSEEN_CHK_001338,payment|checkout,payment_failed|checkout_abandoned,48406.48,insufficient_funds,matched,0.9897790066307008,2026-07-15 21:04:42.044069
CASE_000021,UNSEEN_CUST_01565,UNSEEN_PAY_001061|UNSEEN_CHK_000831,payment|checkout,payment_failed|checkout_abandoned,3320.57,temporary_bank_failure,matched,0.9897063037704704,2026-08-06 13:24:41.854479
CASE_000022,UNSEEN_CUST_00646,UNSEEN_PAY_001393|UNSEEN_CHK_000607,payment|checkout,payment_failed|checkout_abandoned,37316.65,timeout,matched,0.9893829210434365,2026-08-19 04:10:41.869990
CASE_000023,UNSEEN_CUST_00296,UNSEEN_PAY_002123|UNSEEN_CHK_000205,payment|checkout,payment_failed|checkout_abandoned,14255.45,temporary_bank_failure,matched,0.9893707455355281,2026-08-14 12:34:41.901985
CASE_000024,UNSEEN_CUST_00294,UNSEEN_PAY_004161|UNSEEN_CHK_000342,payment|checkout,payment_failed|checkout_abandoned,28434.15,timeout,matched,0.9891959272564856,2026-06-28 22:10:42.002075
CASE_000025,UNSEEN_CUST_00937,UNSEEN_PAY_002872|UNSEEN_CHK_001499,payment|checkout,payment_failed|checkout_abandoned,14447.0,temporary_bank_failure,matched,0.9890136860401622,2026-08-14 11:11:41.935989
CASE_000026,UNSEEN_CUST_01516,UNSEEN_PAY_005151|UNSEEN_CHK_002402,payment|checkout,payment_failed|checkout_abandoned,47996.5,authentication_failed,matched,0.9889174841452559,2026-08-23 18:43:42.045075
CASE_000027,UNSEEN_CUST_01025,UNSEEN_PAY_002648|UNSEEN_CHK_002849,payment|checkout,payment_failed|checkout_abandoned,49479.07,temporary_bank_failure,matched,0.9888265172301922,2026-07-18 19:29:41.924991
CASE_000028,UNSEEN_CUST_01431,UNSEEN_PAY_000772|UNSEEN_CHK_000005,payment|checkout,payment_failed|checkout_abandoned,31053.39,temporary_bank_failure,matched,0.9887893546673434,2026-08-10 12:40:41.839479
CASE_000029,UNSEEN_CUST_01039,UNSEEN_PAY_006303|UNSEEN_CHK_001598,payment|checkout,payment_failed|checkout_abandoned,11049.12,temporary_bank_failure,matched,0.988758561767815,2026-07-26 06:56:42.103066
CASE_000030,UNSEEN_CUST_00219,UNSEEN_PAY_005452|UNSEEN_CHK_001415,payment|checkout,payment_failed|checkout_abandoned,24457.56,temporary_bank_failure,matched,0.9887289097249821,2026-08-17 00:48:42.059075
CASE_000031,UNSEEN_CUST_01431,UNSEEN_PAY_002173|UNSEEN_CHK_000366,payment|checkout,payment_failed|checkout_abandoned,34733.4,expired_instrument,matched,0.9884013994214983,2026-08-05 04:59:41.903985
CASE_000032,UNSEEN_CUST_00300,UNSEEN_PAY_000445|UNSEEN_CHK_000987,payment|checkout,payment_failed|checkout_abandoned,5627.65,temporary_bank_failure,matched,0.9881185555052089,2026-07-29 04:40:41.818991
CASE_000033,UNSEEN_CUST_00454,UNSEEN_PAY_006933|UNSEEN_CHK_002667,payment|checkout,payment_failed|checkout_abandoned,6683.25,authentication_failed,matched,0.9876368408583649,2026-07-19 15:05:42.132076
CASE_000034,UNSEEN_CUST_01029,UNSEEN_PAY_005995|UNSEEN_CHK_000667,payment|checkout,payment_failed|checkout_abandoned,23079.27,unknown_failure,matched,0.9874950673627603,2026-06-16 10:19:42.085032
CASE_000035,UNSEEN_CUST_00941,UNSEEN_PAY_000421|UNSEEN_CHK_001364,payment|checkout,payment_failed|checkout_abandoned,33025.51,temporary_bank_failure,matched,0.9866596281682452,2026-07-26 14:01:41.817991
CASE_000036,UNSEEN_CUST_01055,UNSEEN_PAY_006074|UNSEEN_CHK_001740,payment|checkout,payment_failed|checkout_abandoned,12418.3,expired_instrument,matched,0.9863351823071149,2026-07-14 02:01:42.089987
CASE_000037,UNSEEN_CUST_00813,UNSEEN_PAY_001298|UNSEEN_CHK_003162,payment|checkout,payment_failed|checkout_abandoned,15129.89,temporary_bank_failure,matched,0.9861014031386437,2026-07-25 05:56:41.865990
CASE_000038,UNSEEN_CUST_00647,UNSEEN_PAY_004312|UNSEEN_CHK_002562,payment|checkout,payment_failed|checkout_abandoned,4444.56,insufficient_funds,matched,0.9859590150656081,2026-06-02 19:26:42.009066
CASE_000039,UNSEEN_CUST_00908,UNSEEN_PAY_005649|UNSEEN_CHK_000035,payment|checkout,payment_failed|checkout_abandoned,38416.29,expired_instrument,matched,0.9858243844386501,2026-08-07 15:45:42.068066
CASE_000040,UNSEEN_CUST_00413,UNSEEN_PAY_001026|UNSEEN_CHK_000814,payment|checkout,payment_failed|checkout_abandoned,48376.96,temporary_bank_failure,matched,0.9854039994796421,2026-07-02 06:29:41.853480
CASE_000041,UNSEEN_CUST_01137,UNSEEN_PAY_003722|UNSEEN_CHK_000307,payment|checkout,payment_failed|checkout_abandoned,39711.46,insufficient_funds,matched,0.9853915799396726,2026-06-25 04:11:41.982986
CASE_000042,UNSEEN_CUST_00928,UNSEEN_PAY_001886|UNSEEN_CHK_001901,payment|checkout,payment_failed|checkout_abandoned,49013.71,expired_instrument,matched,0.9850900123432584,2026-07-25 17:34:41.891985
CASE_000043,UNSEEN_CUST_01951,UNSEEN_PAY_004650|UNSEEN_CHK_001153,payment|checkout,payment_failed|checkout_abandoned,43429.88,insufficient_funds,matched,0.9843292636313985,2026-06-08 02:08:42.024080
CASE_000044,UNSEEN_CUST_00185,UNSEEN_PAY_004092|UNSEEN_CHK_001755,payment|checkout,payment_failed|checkout_abandoned,29678.3,expired_instrument,matched,0.9837629017759701,2026-07-17 18:46:41.999067
CASE_000045,UNSEEN_CUST_00993,UNSEEN_PAY_000943|UNSEEN_CHK_000273,payment|checkout,payment_failed|checkout_abandoned,14986.84,insufficient_funds,matched,0.9835185202484313,2026-06-08 02:05:41.849478
CASE_000046,UNSEEN_CUST_00581,UNSEEN_PAY_003071|UNSEEN_CHK_001168,payment|checkout,payment_failed|checkout_abandoned,8015.78,timeout,matched,0.9833815687445404,2026-07-27 17:24:41.945990
CASE_000047,UNSEEN_CUST_00963,UNSEEN_PAY_000528|UNSEEN_CHK_002093,payment|checkout,payment_failed|checkout_abandoned,19249.67,blocked_instrument,matched,0.9831246479376876,2026-08-09 00:26:41.826478
CASE_000048,UNSEEN_CUST_01884,UNSEEN_PAY_006265|UNSEEN_CHK_001840,payment|checkout,payment_failed|checkout_abandoned,39389.96,insufficient_funds,matched,0.9828766585867735,2026-07-08 19:29:42.101073
CASE_000049,UNSEEN_CUST_01340,UNSEEN_PAY_005640|UNSEEN_CHK_000360,payment|checkout,payment_failed|checkout_abandoned,12491.06,temporary_bank_failure,matched,0.9826958823172556,2026-06-07 17:27:42.067066
CASE_000050,UNSEEN_CUST_01418,UNSEEN_PAY_004892|UNSEEN_CHK_001242,payment|checkout,payment_failed|checkout_abandoned,13298.06,risk_decline,matched,0.9824077517906957,2026-07-19 07:07:42.034073
CASE_000051,UNSEEN_CUST_00977,UNSEEN_PAY_000541|UNSEEN_CHK_000345,payment|checkout,payment_failed|checkout_abandoned,13861.29,temporary_bank_failure,matched,0.9823642286059473,2026-05-28 18:59:41.827478
CASE_000052,UNSEEN_CUST_01654,UNSEEN_PAY_006665|UNSEEN_CHK_002721,payment|checkout,payment_failed|checkout_abandoned,21142.8,expired_instrument,matched,0.9822379249673647,2026-06-03 11:56:42.120065
CASE_000053,UNSEEN_CUST_01787,UNSEEN_PAY_004796|UNSEEN_CHK_001442,payment|checkout,payment_failed|checkout_abandoned,97127.01,temporary_bank_failure,matched,0.9822059010670667,2026-06-30 05:39:42.030078
CASE_000054,UNSEEN_CUST_01093,UNSEEN_PAY_005847|UNSEEN_CHK_000030,payment|checkout,payment_failed|checkout_abandoned,2100.1,authentication_failed,matched,0.9820127216164309,2026-06-18 05:19:42.078066
CASE_000055,UNSEEN_CUST_00390,UNSEEN_PAY_000417|UNSEEN_CHK_000502,payment|checkout,payment_failed|checkout_abandoned,11807.01,expired_instrument,matched,0.9819831926118466,2026-08-19 09:20:41.817991
CASE_000056,UNSEEN_CUST_00832,UNSEEN_PAY_005507|UNSEEN_CHK_002445,payment|checkout,payment_failed|checkout_abandoned,19126.64,limit_exceeded,matched,0.981822917610667,2026-08-18 13:58:42.061077
CASE_000057,UNSEEN_CUST_00577,UNSEEN_PAY_002780|UNSEEN_CHK_003453,payment|checkout,payment_failed|checkout_abandoned,5593.76,authentication_failed,matched,0.9816791488293305,2026-07-16 00:34:41.930990
CASE_000058,UNSEEN_CUST_01029,UNSEEN_PAY_001128|UNSEEN_CHK_003106,payment|checkout,payment_failed|checkout_abandoned,31970.28,temporary_bank_failure,matched,0.9813548124487285,2026-06-07 13:24:41.858483
CASE_000059,UNSEEN_CUST_00096,UNSEEN_PAY_005328|UNSEEN_CHK_002646,payment|checkout,payment_failed|checkout_abandoned,16523.99,insufficient_funds,matched,0.9810962150922521,2026-07-04 14:58:42.054066
CASE_000060,UNSEEN_CUST_00342,UNSEEN_PAY_004695|UNSEEN_CHK_002271,payment|checkout,payment_failed|checkout_abandoned,7296.72,timeout,matched,0.9807619313883499,2026-07-06 13:22:42.025997
CASE_000061,UNSEEN_CUST_01725,UNSEEN_PAY_001750|UNSEEN_CHK_000869,payment|checkout,payment_failed|checkout_abandoned,11486.97,insufficient_funds,matched,0.9804258194284481,2026-07-08 07:57:41.885985
CASE_000062,UNSEEN_CUST_00402,UNSEEN_PAY_006753|UNSEEN_CHK_000469,payment|checkout,payment_failed|checkout_abandoned,30125.09,authentication_failed,matched,0.9804137874221566,2026-08-04 08:38:42.124067
CASE_000063,UNSEEN_CUST_01023,UNSEEN_PAY_005742|UNSEEN_CHK_002888,payment|checkout,payment_failed|checkout_abandoned,22649.18,insufficient_funds,matched,0.9803872727891743,2026-06-01 00:46:42.072070
CASE_000064,UNSEEN_CUST_00122,UNSEEN_PAY_001928|UNSEEN_CHK_002976,payment|checkout,payment_failed|checkout_abandoned,17448.19,insufficient_funds,matched,0.9801541963505799,2026-08-13 06:07:41.893985
CASE_000065,UNSEEN_CUST_01194,UNSEEN_PAY_001287|UNSEEN_CHK_000557,payment|checkout,payment_failed|checkout_abandoned,12043.76,risk_decline,matched,0.9801391444384663,2026-06-30 17:26:41.865990
CASE_000066,UNSEEN_CUST_01359,UNSEEN_PAY_006853|UNSEEN_CHK_003497,payment|checkout,payment_failed|checkout_abandoned,29683.98,authentication_failed,matched,0.9801038438915537,2026-07-21 23:56:42.128065
CASE_000067,UNSEEN_CUST_01143,UNSEEN_PAY_002020|UNSEEN_CHK_002571,payment|checkout,payment_failed|checkout_abandoned,47906.72,unknown_failure,matched,0.9800476425854243,2026-06-25 06:44:41.897985
CASE_000068,UNSEEN_CUST_00492,UNSEEN_PAY_002346|UNSEEN_CHK_000973,payment|checkout,payment_failed|checkout_abandoned,3767.24,blocked_instrument,matched,0.9799367293945818,2026-08-13 11:15:41.910985
CASE_000069,UNSEEN_CUST_01342,UNSEEN_PAY_004910|UNSEEN_CHK_001786,payment|checkout,payment_failed|checkout_abandoned,5854.75,temporary_bank_failure,matched,0.9798229263039033,2026-07-21 08:21:42.035074
CASE_000070,UNSEEN_CUST_00342,UNSEEN_PAY_001985|UNSEEN_CHK_003082,payment|checkout,payment_failed|checkout_abandoned,18831.22,blocked_instrument,matched,0.9798158206307279,2026-05-29 08:52:41.895985
CASE_000071,UNSEEN_CUST_00084,UNSEEN_PAY_004086|UNSEEN_CHK_000812,payment|checkout,payment_failed|checkout_abandoned,45863.13,insufficient_funds,matched,0.9796743607919187,2026-06-07 05:03:41.998077
CASE_000072,UNSEEN_CUST_00163,UNSEEN_PAY_000595|UNSEEN_CHK_002439,payment|checkout,payment_failed|checkout_abandoned,47708.96,blocked_instrument,matched,0.9796390922515743,2026-08-26 05:37:41.830479
CASE_000073,UNSEEN_CUST_00690,UNSEEN_PAY_003924|UNSEEN_CHK_000639,payment|checkout,payment_failed|checkout_abandoned,37043.56,expired_instrument,matched,0.9795448304644586,2026-06-22 04:18:41.991079
CASE_000074,UNSEEN_CUST_00914,UNSEEN_PAY_001339|UNSEEN_CHK_000112,payment|checkout,payment_failed|checkout_abandoned,87671.29,timeout,matched,0.9794367794494386,2026-07-01 17:45:41.867990
CASE_000075,UNSEEN_CUST_01447,UNSEEN_PAY_002498|UNSEEN_CHK_000180,payment|checkout,payment_failed|checkout_abandoned,34003.16,expired_instrument,matched,0.9789763745487183,2026-07-05 14:59:41.917985
CASE_000076,UNSEEN_CUST_01028,UNSEEN_PAY_006724|UNSEEN_CHK_002051,payment|checkout,payment_failed|checkout_abandoned,16650.47,temporary_bank_failure,matched,0.9787904145248352,2026-07-06 02:39:42.122986
CASE_000077,UNSEEN_CUST_00556,UNSEEN_PAY_005031|UNSEEN_CHK_002840,payment|checkout,payment_failed|checkout_abandoned,1757.79,risk_decline,matched,0.9787267819250309,2026-07-28 15:54:42.039988
CASE_000078,UNSEEN_CUST_00349,UNSEEN_PAY_001340|UNSEEN_CHK_003108,payment|checkout,payment_failed|checkout_abandoned,35850.99,insufficient_funds,matched,0.9782221990243506,2026-06-24 10:29:41.867990
CASE_000079,UNSEEN_CUST_00078,UNSEEN_PAY_003836|UNSEEN_CHK_003187,payment|checkout,payment_failed|checkout_abandoned,18215.72,timeout,matched,0.9781936255546796,2026-07-02 23:46:41.988078
CASE_000080,UNSEEN_CUST_01241,UNSEEN_PAY_005380|UNSEEN_CHK_001812,payment|checkout,payment_failed|checkout_abandoned,39108.39,timeout,matched,0.9781610927987576,2026-08-22 00:57:42.056078
CASE_000081,UNSEEN_CUST_00212,UNSEEN_PAY_006917|UNSEEN_CHK_002107,payment|checkout,payment_failed|checkout_abandoned,45675.89,risk_decline,matched,0.9778923689281152,2026-07-12 07:59:42.131073
CASE_000082,UNSEEN_CUST_00228,UNSEEN_PAY_002562|UNSEEN_CHK_001030,payment|checkout,payment_failed|checkout_abandoned,2526.88,temporary_bank_failure,matched,0.9778415894524295,2026-06-16 02:22:41.920985
CASE_000083,UNSEEN_CUST_01933,UNSEEN_PAY_004087|UNSEEN_CHK_003255,payment|checkout,payment_failed|checkout_abandoned,39153.65,limit_exceeded,matched,0.9776900301759861,2026-08-14 12:40:41.998077
CASE_000084,UNSEEN_CUST_01052,UNSEEN_PAY_002623|UNSEEN_CHK_003392,payment|checkout,payment_failed|checkout_abandoned,30448.96,timeout,matched,0.9776199544709865,2026-06-25 06:59:41.923996
CASE_000085,UNSEEN_CUST_00198,UNSEEN_PAY_004666|UNSEEN_CHK_002128,payment|checkout,payment_failed|checkout_abandoned,2636.29,limit_exceeded,matched,0.9771266754922006,2026-06-03 18:06:42.024080
CASE_000086,UNSEEN_CUST_01583,UNSEEN_PAY_001285|UNSEEN_CHK_000296,payment|checkout,payment_failed|checkout_abandoned,16269.93,expired_instrument,matched,0.9770978931685632,2026-06-13 18:32:41.865990
CASE_000087,UNSEEN_CUST_00603,UNSEEN_PAY_000457|UNSEEN_CHK_000637,payment|checkout,payment_failed|checkout_abandoned,49340.27,insufficient_funds,matched,0.9767428334344792,2026-06-21 02:47:41.819991
CASE_000088,UNSEEN_CUST_00025,UNSEEN_PAY_004519|UNSEEN_CHK_000880,payment|checkout,payment_failed|checkout_abandoned,11277.23,unknown_failure,matched,0.9767153047433732,2026-07-15 23:50:42.018069
CASE_000089,UNSEEN_CUST_01664,UNSEEN_PAY_006973|UNSEEN_CHK_001056,payment|checkout,payment_failed|checkout_abandoned,33835.06,unknown_failure,matched,0.9767048717776441,2026-06-16 17:25:42.134070
CASE_000090,UNSEEN_CUST_00351,UNSEEN_PAY_006884|UNSEEN_CHK_002315,payment|checkout,payment_failed|checkout_abandoned,31382.01,limit_exceeded,matched,0.9766216360902313,2026-07-17 09:37:42.130071
CASE_000091,UNSEEN_CUST_01084,UNSEEN_PAY_000711|UNSEEN_CHK_000714,payment|checkout,payment_failed|checkout_abandoned,37061.78,timeout,matched,0.9765746626308828,2026-05-30 22:31:41.836478
CASE_000092,UNSEEN_CUST_00575,UNSEEN_PAY_001458|UNSEEN_CHK_003205,payment|checkout,payment_failed|checkout_abandoned,3740.64,temporary_bank_failure,matched,0.976538560246375,2026-07-15 18:46:41.872985
CASE_000093,UNSEEN_CUST_01850,UNSEEN_PAY_006965|UNSEEN_CHK_001996,payment|checkout,payment_failed|checkout_abandoned,40502.52,risk_decline,matched,0.9762762045423348,2026-08-07 09:35:42.134070
CASE_000094,UNSEEN_CUST_01010,UNSEEN_PAY_005074|UNSEEN_CHK_002931,payment|checkout,payment_failed|checkout_abandoned,32450.61,timeout,matched,0.9762208923037194,2026-07-06 23:03:42.042074
CASE_000095,UNSEEN_CUST_00055,UNSEEN_PAY_003528|UNSEEN_CHK_003094,payment|checkout,payment_failed|checkout_abandoned,43509.08,insufficient_funds,matched,0.976157276953582,2026-06-18 15:09:41.971990
CASE_000096,UNSEEN_CUST_01872,UNSEEN_PAY_001788|UNSEEN_CHK_000915,payment|checkout,payment_failed|checkout_abandoned,42260.69,insufficient_funds,matched,0.9758142080605983,2026-06-19 16:15:41.887985
CASE_000097,UNSEEN_CUST_00683,UNSEEN_PAY_001797|UNSEEN_CHK_003465,payment|checkout,payment_failed|checkout_abandoned,858.15,unknown_failure,matched,0.9756766008273612,2026-07-19 00:39:41.887985
CASE_000098,UNSEEN_CUST_01759,UNSEEN_PAY_006891|UNSEEN_CHK_001418,payment|checkout,payment_failed|checkout_abandoned,14093.98,temporary_bank_failure,matched,0.9756372902157912,2026-06-07 21:29:42.130071
CASE_000099,UNSEEN_CUST_00676,UNSEEN_PAY_002104|UNSEEN_CHK_003362,payment|checkout,payment_failed|checkout_abandoned,49823.04,temporary_bank_failure,matched,0.97542331954587,2026-07-20 18:38:41.900985
CASE_000100,UNSEEN_CUST_00751,UNSEEN_PAY_006474|UNSEEN_CHK_001800,payment|checkout,payment_failed|checkout_abandoned,83082.04,insufficient_funds,matched,0.9752055848786465,2026-06-24 22:10:42.112079
CASE_000101,UNSEEN_CUST_01099,UNSEEN_PAY_004032|UNSEEN_CHK_002303,payment|checkout,payment_failed|checkout_abandoned,35509.4,temporary_bank_failure,matched,0.9749184629046581,2026-08-01 11:42:41.996072
CASE_000102,UNSEEN_CUST_01666,UNSEEN_PAY_000777|UNSEEN_CHK_003253,payment|checkout,payment_failed|checkout_abandoned,3739.51,insufficient_funds,matched,0.9748365969813633,2026-08-11 11:57:41.840478
