checkout_id,customer_id,amount,status,checkout_stage,created_at,abandoned_at
UNSEEN_CHK_000001,UNSEEN_CUST_00334,41797.7,abandoned,payment_page,2026-08-03 23:06:42.112079,2026-08-03 23:42:42.112079
UNSEEN_CHK_000002,UNSEEN_CUST_01642,21895.13,abandoned,address,2026-08-03 01:59:42.280726,2026-08-03 03:06:42.280726
UNSEEN_CHK_000003,UNSEEN_CUST_00008,3953.41,completed,review,2026-06-21 21:44:42.280726,
UNSEEN_CHK_000004,UNSEEN_CUST_00036,3223.98,completed,review,2026-08-24 04:36:42.280726,
UNSEEN_CHK_000005,UNSEEN_CUST_01431,30832.59,abandoned,payment_attempt,2026-08-10 13:05:41.839479,2026-08-10 14:02:41.839479
UNSEEN_CHK_000006,UNSEEN_CUST_01959,40537.77,completed,address,2026-06-29 21:36:42.282727,
UNSEEN_CHK_000007,UNSEEN_CUST_00351,29933.8,abandoned,payment_page,2026-06-16 10:43:42.282727,2026-06-16 11:38:42.282727
UNSEEN_CHK_000008,UNSEEN_CUST_00173,44702.77,abandoned,payment_attempt,2026-07-10 18:29:42.282727,2026-07-10 20:13:42.282727
UNSEEN_CHK_000009,UNSEEN_CUST_01104,20304.68,completed,payment_attempt,2026-07-03 12:36:42.282727,
UNSEEN_CHK_000010,UNSEEN_CUST_00400,35188.35,abandoned,payment_attempt,2026-07-08 16:26:41.980067,2026-07-08 17:56:41.980067
UNSEEN_CHK_000011,UNSEEN_CUST_00338,34222.64,completed,payment_attempt,2026-06-25 01:57:42.284726,
UNSEEN_CHK_000012,UNSEEN_CUST_00011,1701.76,abandoned,payment_page,2026-06-06 19:24:42.086072,2026-06-06 21:02:42.086072
UNSEEN_CHK_000013,UNSEEN_CUST_00193,40852.97,completed,payment_attempt,2026-07-30 22:34:42.285814,
UNSEEN_CHK_000014,UNSEEN_CUST_00740,26576.6,expired,address,2026-05-30 21:05:42.285814,2026-05-30 21:44:42.285814
UNSEEN_CHK_000015,UNSEEN_CUST_01832,39898.62,abandoned,payment_attempt,2026-07-06 03:45:42.079077,2026-07-06 04:54:42.079077
UNSEEN_CHK_000016,UNSEEN_CUST_01075,69257.14,completed,payment_attempt,2026-07-28 02:57:42.288725,
UNSEEN_CHK_000017,UNSEEN_CUST_01203,21292.49,abandoned,payment_attempt,2026-07-09 07:06:42.288725,2026-07-09 07:41:42.288725
UNSEEN_CHK_000018,UNSEEN_CUST_00428,21998.86,abandoned,payment_attempt,2026-06-30 20:25:42.288725,2026-06-30 21:42:42.288725
UNSEEN_CHK_000019,UNSEEN_CUST_00954,36615.82,abandoned,payment_page,2026-08-26 15:06:42.288725,2026-08-26 16:10:42.288725
UNSEEN_CHK_000020,UNSEEN_CUST_01765,28215.34,abandoned,payment_attempt,2026-06-12 02:19:42.288725,2026-06-12 03:39:42.288725
UNSEEN_CHK_000021,UNSEEN_CUST_00027,38534.93,expired,review,2026-07-04 05:06:42.289725,2026-07-04 07:02:42.289725
UNSEEN_CHK_000022,UNSEEN_CUST_01959,23926.41,abandoned,review,2026-06-23 04:00:42.289725,2026-06-23 04:31:42.289725
UNSEEN_CHK_000023,UNSEEN_CUST_01761,42236.71,abandoned,payment_attempt,2026-08-20 09:01:42.031066,2026-08-20 09:04:42.031066
UNSEEN_CHK_000024,UNSEEN_CUST_00699,65491.36,abandoned,payment_page,2026-06-12 08:11:42.122986,2026-06-12 09:53:42.122986
UNSEEN_CHK_000025,UNSEEN_CUST_01542,7526.09,completed,payment_attempt,2026-08-02 14:08:42.294724,
UNSEEN_CHK_000026,UNSEEN_CUST_00302,3364.95,expired,address,2026-08-21 10:30:42.294724,2026-08-21 11:10:42.294724
UNSEEN_CHK_000027,UNSEEN_CUST_00804,44261.2,completed,review,2026-06-20 21:22:42.294724,
UNSEEN_CHK_000028,UNSEEN_CUST_01905,44990.1,completed,review,2026-06-16 12:02:42.294724,
UNSEEN_CHK_000029,UNSEEN_CUST_00124,6952.4,abandoned,payment_attempt,2026-07-16 03:47:42.294724,2026-07-16 04:26:42.294724
UNSEEN_CHK_000030,UNSEEN_CUST_01093,2100.1,abandoned,payment_attempt,2026-06-18 05:58:42.078066,2026-06-18 07:34:42.078066
UNSEEN_CHK_000031,UNSEEN_CUST_01813,49332.63,completed,payment_attempt,2026-07-12 21:38:42.295725,
UNSEEN_CHK_000032,UNSEEN_CUST_01250,19607.84,completed,payment_page,2026-07-20 22:18:42.295725,
UNSEEN_CHK_000033,UNSEEN_CUST_00933,36697.85,completed,payment_attempt,2026-07-26 17:00:42.295725,
UNSEEN_CHK_000034,UNSEEN_CUST_00992,17119.32,completed,payment_attempt,2026-06-02 04:01:42.296725,
UNSEEN_CHK_000035,UNSEEN_CUST_00908,38024.44,abandoned,payment_attempt,2026-08-07 15:45:42.068066,2026-08-07 16:11:42.068066
UNSEEN_CHK_000036,UNSEEN_CUST_00602,15829.59,completed,review,2026-08-21 22:37:42.297724,
UNSEEN_CHK_000037,UNSEEN_CUST_01264,19359.76,completed,payment_page,2026-06-12 01:33:42.297724,
