invoice_id,customer_id,amount,status,due_date,paid_at,days_overdue,failure_code,failure_category,created_at
UNSEEN_INV_000001,UNSEEN_CUST_00001,55864.95,paid,2026-06-02 20:09:43.402546,2026-06-02 20:09:43.402546,0,,,2026-05-05 20:09:43.402546
UNSEEN_INV_000002,UNSEEN_CUST_00002,69954.45,paid,2026-06-22 20:09:43.402546,2026-06-21 20:09:43.402546,0,,,2026-05-29 20:09:43.402546
UNSEEN_INV_000003,UNSEEN_CUST_00003,71204.62,overdue,2026-05-04 20:09:43.403540,,37,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,2026-04-17 20:09:43.403540
UNSEEN_INV_000004,UNSEEN_CUST_00004,19599.77,paid,2026-03-31 20:09:43.403540,2026-03-27 20:09:43.403540,0,,,2026-03-22 20:09:43.403540
UNSEEN_INV_000005,UNSEEN_CUST_00005,23843.18,paid,2026-07-02 20:09:43.403540,2026-06-30 20:09:43.403540,0,,,2026-06-11 20:09:43.403540
UNSEEN_INV_000006,UNSEEN_CUST_00006,149803.52,overdue,2026-05-27 20:09:43.403540,,77,FUNDS_NOT_AVAILABLE,insufficient_funds,2026-05-03 20:09:43.403540
UNSEEN_INV_000007,UNSEEN_CUST_00007,16551.45,overdue,2026-04-28 20:09:43.403540,,83,UNSPECIFIED_DECLINE,temporary_bank_failure,2026-03-30 20:09:43.403540
UNSEEN_INV_000008,UNSEEN_CUST_00008,14733.6,overdue,2026-05-12 20:09:43.403540,,29,INSTRUMENT_BLOCKED,blocked_instrument,2026-05-04 20:09:43.403540
UNSEEN_INV_000009,UNSEEN_CUST_00009,15935.9,paid,2026-03-18 20:09:43.404538,2026-03-16 20:09:43.404538,0,,,2026-03-08 20:09:43.404538
UNSEEN_INV_000010,UNSEEN_CUST_00010,67148.7,paid,2026-07-11 20:09:43.404538,2026-07-08 20:09:43.404538,0,,,2026-07-01 20:09:43.404538
UNSEEN_INV_000011,UNSEEN_CUST_00011,24273.89,paid,2026-05-26 20:09:43.404538,2026-05-21 20:09:43.404538,0,,,2026-05-17 20:09:43.404538
UNSEEN_INV_000012,UNSEEN_CUST_00012,10217.97,overdue,2026-07-07 20:09:43.404538,,51,INSUFFICIENT_BALANCE,insufficient_funds,2026-06-27 20:09:43.404538
UNSEEN_INV_000013,UNSEEN_CUST_00013,43161.75,paid,2026-05-08 20:09:43.404538,2026-05-02 20:09:43.404538,0,,,2026-04-13 20:09:43.404538
UNSEEN_INV_000014,UNSEEN_CUST_00014,7395.88,paid,2026-05-27 20:09:43.405538,2026-05-27 20:09:43.405538,0,,,2026-04-28 20:09:43.405538
UNSEEN_INV_000015,UNSEEN_CUST_00015,56385.21,cancelled,2026-08-02 20:09:43.405538,,0,,,2026-07-11 20:09:43.405538
UNSEEN_INV_000016,UNSEEN_CUST_00016,58659.5,paid,2026-07-12 20:09:43.405538,2026-07-07 20:09:43.405538,0,,,2026-07-03 20:09:43.405538
UNSEEN_INV_000017,UNSEEN_CUST_00017,24406.24,paid,2026-05-02 20:09:43.405538,2026-04-28 20:09:43.405538,0,,,2026-04-19 20:09:43.405538
UNSEEN_INV_000018,UNSEEN_CUST_00018,10162.14,paid,2026-06-09 20:09:43.405538,2026-06-08 20:09:43.405538,0,,,2026-05-15 20:09:43.405538
UNSEEN_INV_000019,UNSEEN_CUST_00019,15259.26,paid,2026-05-24 20:09:43.405538,2026-05-20 20:09:43.405538,0,,,2026-04-24 20:09:43.405538
UNSEEN_INV_000020,UNSEEN_CUST_00020,70214.89,overdue,2026-07-17 20:09:43.405538,,51,UNSPECIFIED_DECLINE,unknown_failure,2026-07-10 20:09:43.405538
UNSEEN_INV_000021,UNSEEN_CUST_00021,17066.16,paid,2026-08-17 20:09:43.406543,2026-08-15 20:09:43.406543,0,,,2026-07-18 20:09:43.406543
UNSEEN_INV_000022,UNSEEN_CUST_00022,9942.63,paid,2026-03-28 20:09:43.406543,2026-03-23 20:09:43.406543,0,,,2026-03-08 20:09:43.406543
UNSEEN_INV_000023,UNSEEN_CUST_00023,11187.45,paid,2026-08-12 20:09:43.406543,2026-08-11 20:09:43.406543,0,,,2026-07-21 20:09:43.406543
