payment_id,customer_id,amount,payment_method,status,raw_failure_code,failure_category,attempt_number,created_at
UNSEEN_PAY_000001,UNSEEN_CUST_01191,41069.39,upi,successful,,,1,2026-07-13 02:24:41.794597
UNSEEN_PAY_000002,UNSEEN_CUST_00549,37699.67,upi,successful,,,1,2026-08-11 17:14:41.795597
UNSEEN_PAY_000003,UNSEEN_CUST_01639,18528.42,card,successful,,,1,2026-07-29 16:34:41.795597
UNSEEN_PAY_000004,UNSEEN_CUST_01187,22541.31,upi,successful,,,1,2026-07-08 08:17:41.795597
UNSEEN_PAY_000005,UNSEEN_CUST_01323,805.99,upi,failed,FUNDS_NOT_AVAILABLE,insufficient_funds,1,2026-07-27 14:22:41.796074
UNSEEN_PAY_000006,UNSEEN_CUST_00749,9473.12,card,failed,AUTHENTICATION_FAILED,authentication_failed,1,2026-06-06 22:33:41.796074
UNSEEN_PAY_000007,UNSEEN_CUST_01079,13384.53,upi,successful,,,1,2026-08-14 04:18:41.796074
UNSEEN_PAY_000008,UNSEEN_CUST_00838,33148.6,upi,successful,,,1,2026-06-30 11:50:41.796074
UNSEEN_PAY_000009,UNSEEN_CUST_01607,41848.42,upi,successful,,,1,2026-07-12 23:04:41.796074
UNSEEN_PAY_000010,UNSEEN_CUST_01459,9798.1,card,successful,,,1,2026-06-16 13:21:41.796074
UNSEEN_PAY_000011,UNSEEN_CUST_01844,3640.22,upi,successful,,,1,2026-07-30 18:14:41.796577
UNSEEN_PAY_000012,UNSEEN_CUST_01645,21980.05,upi,successful,,,1,2026-06-30 21:33:41.796577
UNSEEN_PAY_000013,UNSEEN_CUST_01615,21834.01,card,successful,,,1,2026-08-13 00:35:41.796577
UNSEEN_PAY_000014,UNSEEN_CUST_01299,6384.88,netbanking,successful,,,1,2026-07-19 23:19:41.796577
UNSEEN_PAY_000015,UNSEEN_CUST_00924,33434.51,card,successful,,,1,2026-07-10 15:39:41.796577
UNSEEN_PAY_000016,UNSEEN_CUST_00055,32036.27,netbanking,failed,INSUFFICIENT_BALANCE,insufficient_funds,1,2026-08-10 02:45:41.796577
UNSEEN_PAY_000017,UNSEEN_CUST_01034,20633.96,card,successful,,,1,2026-06-21 03:09:41.796577
UNSEEN_PAY_000018,UNSEEN_CUST_00811,35140.5,card,successful,,,1,2026-08-03 07:27:41.796577
UNSEEN_PAY_000019,UNSEEN_CUST_00788,23980.45,card,successful,,,1,2026-07-19 11:35:41.796577
UNSEEN_PAY_000020,UNSEEN_CUST_00571,39896.89,card,successful,,,1,2026-07-14 01:32:41.796577
