subscription_id,customer_id,amount,status,failure_code,failure_category,retry_count,created_at,next_retry_at
UNSEEN_SUB_000001,UNSEEN_CUST_00001,12349.26,active,,,0,2026-03-24 20:09:42.169985,
UNSEEN_SUB_000002,UNSEEN_CUST_00002,6269.01,active,,,0,2026-08-18 20:09:42.169985,
UNSEEN_SUB_000003,UNSEEN_CUST_00003,13690.34,active,,,0,2026-05-08 20:09:42.169985,
UNSEEN_SUB_000004,UNSEEN_CUST_00004,8920.79,active,,,0,2026-03-17 20:09:42.169985,
UNSEEN_SUB_000005,UNSEEN_CUST_00005,12681.42,active,,,0,2026-08-07 20:09:42.169985,
UNSEEN_SUB_000006,UNSEEN_CUST_00006,8579.5,active,,,0,2026-07-26 20:09:42.169985,
UNSEEN_SUB_000007,UNSEEN_CUST_00007,21447.93,active,,,0,2026-04-13 20:09:42.169985,
UNSEEN_SUB_000008,UNSEEN_CUST_00008,14615.12,active,,,0,2026-08-13 20:09:42.169985,
UNSEEN_SUB_000009,UNSEEN_CUST_00009,4358.78,active,,,0,2026-06-23 20:09:42.169985,
UNSEEN_SUB_000010,UNSEEN_CUST_00010,12776.95,active,,,0,2026-05-04 20:09:42.169985,
UNSEEN_SUB_000011,UNSEEN_CUST_00011,7097.7,failed,INSUFFICIENT_BALANCE,insufficient_funds,0,2026-05-22 20:09:42.170987,2026-05-23 02:09:42.170987
UNSEEN_SUB_000012,UNSEEN_CUST_00012,4103.13,failed,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,1,2026-08-07 20:09:42.170987,2026-08-09 19:09:42.170987
UNSEEN_SUB_000013,UNSEEN_CUST_00013,8263.44,active,,,0,2026-07-02 20:09:42.170987,
UNSEEN_SUB_000014,UNSEEN_CUST_00014,5202.39,cancelled,,,0,2026-08-06 20:09:42.170987,
UNSEEN_SUB_000015,UNSEEN_CUST_00015,13778.93,active,,,0,2026-04-23 20:09:42.170987,
UNSEEN_SUB_000016,UNSEEN_CUST_00016,6112.34,failed,UNSPECIFIED_DECLINE,temporary_bank_failure,0,2026-07-15 20:09:42.170987,2026-07-16 22:09:42.170987
UNSEEN_SUB_000017,UNSEEN_CUST_00017,4186.96,failed,UNSPECIFIED_DECLINE,limit_exceeded,0,2026-07-30 20:09:42.170987,2026-08-01 08:09:42.170987
UNSEEN_SUB_000018,UNSEEN_CUST_00018,14266.16,active,,,0,2026-03-24 20:09:42.170987,
UNSEEN_SUB_000019,UNSEEN_CUST_00019,12289.77,active,,,0,2026-04-11 20:09:42.170987,
UNSEEN_SUB_000020,UNSEEN_CUST_00020,1346.28,active,,,0,2026-07-21 20:09:42.170987,
UNSEEN_SUB_000021,UNSEEN_CUST_00021,6456.98,failed,FUNDS_NOT_AVAILABLE,insufficient_funds,2,2026-07-26 20:09:42.170987,2026-07-27 06:09:42.170987
UNSEEN_SUB_000022,UNSEEN_CUST_00022,13924.26,active,,,0,2026-08-23 20:09:42.170987,
UNSEEN_SUB_000023,UNSEEN_CUST_00023,9553.41,active,,,0,2026-03-02 20:09:42.170987,
UNSEEN_SUB_000024,UNSEEN_CUST_00024,5526.38,cancelled,,,0,2026-04-05 20:09:42.170987,
UNSEEN_SUB_000025,UNSEEN_CUST_00025,5279.35,active,,,0,2026-05-24 20:09:42.170987,
UNSEEN_SUB_000026,UNSEEN_CUST_00026,23766.7,active,,,0,2026-06-30 20:09:42.170987,
UNSEEN_SUB_000027,UNSEEN_CUST_00027,11793.77,failed,UNSPECIFIED_DECLINE,unknown_failure,1,2026-03-12 20:09:42.170987,2026-03-13 08:09:42.170987
UNSEEN_SUB_000028,UNSEEN_CUST_00028,13978.31,active,,,0,2026-07-27 20:09:42.170987,
UNSEEN_SUB_000029,UNSEEN_CUST_00029,11908.48,active,,,0,2026-03-08 20:09:42.170987,
UNSEEN_SUB_000030,UNSEEN_CUST_00030,6167.83,active,,,0,2026-03-05 20:09:42.171986,
UNSEEN_SUB_000031,UNSEEN_CUST_00031,5703.13,active,,,0,2026-08-19 20:09:42.171986,
UNSEEN_SUB_000032,UNSEEN_CUST_00032,8365.38,active,,,0,2026-04-03 20:09:42.171986,
UNSEEN_SUB_000033,UNSEEN_CUST_00033,1949.77,active,,,0,2026-03-22 20:09:42.171986,
UNSEEN_SUB_000034,UNSEEN_CUST_00034,9482.46,cancelled,,,0,2026-03-20 20:09:42.171986,
UNSEEN_SUB_000035,UNSEEN_CUST_00035,8094.91,cancelled,,,0,2026-07-09 20:09:42.171986,
UNSEEN_SUB_000036,UNSEEN_CUST_00036,4912.68,active,,,0,2026-03-05 20:09:42.171986,
UNSEEN_SUB_000037,UNSEEN_CUST_00037,6684.27,active,,,0,2026-08-18 20:09:42.171986,
UNSEEN_SUB_000038,UNSEEN_CUST_00038,3222.18,active,,,0,2026-04-28 20:09:42.171986,
UNSEEN_SUB_000039,UNSEEN_CUST_00039,16152.22,active,,,0,2026-05-29 20:09:42.171986,
UNSEEN_SUB_000040,UNSEEN_CUST_00040,8900.23,active,,,0,2026-04-16 20:09:42.171986,
UNSEEN_SUB_000041,UNSEEN_CUST_00041,2695.13,active,,,0,2026-03-08 20:09:42.171986,
UNSEEN_SUB_000042,UNSEEN_CUST_00042,11910.52,active,,,0,2026-03-01 20:09:42.171986,
UNSEEN_SUB_000043,UNSEEN_CUST_00043,4995.77,cancelled,,,0,2026-04-01 20:09:42.171986,
UNSEEN_SUB_000044,UNSEEN_CUST_00044,8005.35,active,,,0,2026-05-28 20:09:42.171986,
